row_index,NCT,PubMed ID,Trial name,source_value,size_bucket,derived_expected_llm_response
1,NCT01585987,28655793,,114.0,medium,"{""size_bucket"": ""medium""}"
2,NCT00527735,22547592,,204.0,medium,"{""size_bucket"": ""medium""}"
3,NCT00527735,22547592,,204.0,medium,"{""size_bucket"": ""medium""}"
4,NCT00527735,22858559,,130.0,medium,"{""size_bucket"": ""medium""}"
5,NCT00527735,22858559,,130.0,medium,"{""size_bucket"": ""medium""}"
6,NCT01450761,27458307,CA184-156,1132.0,large,"{""size_bucket"": ""large""}"
7,NCT01285609,28854067,,749.0,large,"{""size_bucket"": ""large""}"
8,NCT00324155,21639810,,502.0,large,"{""size_bucket"": ""large""}"
9,NCT00094653,20525992,MDX010-20,676.0,large,"{""size_bucket"": ""large""}"
10,NCT00094653,20525992,MDX010-20,676.0,large,"{""size_bucket"": ""large""}"
11,NCT00636168,27717298,,951.0,large,"{""size_bucket"": ""large""}"
12,NCT00861614,24831977,CA184-043,799.0,large,"{""size_bucket"": ""large""}"
13,NCT01057810,28034081,CA184-095,602.0,large,"{""size_bucket"": ""large""}"
14,NCT01274338,31880964,E1609,1670.0,large,"{""size_bucket"": ""large""}"
15,NCT01274338,31880964,E1609,1670.0,large,"{""size_bucket"": ""large""}"
16,NCT01896869,32591464,,83.0,small,"{""size_bucket"": ""small""}"
17,NCT00094653,23942774,MDX010-20,676.0,large,"{""size_bucket"": ""large""}"
18,NCT00094653,23942774,MDX010-20,676.0,large,"{""size_bucket"": ""large""}"
19,NCT00861614,32811715,CA184-043,799.0,large,"{""size_bucket"": ""large""}"
20, NCT00636168,25840693,,951.0,large,"{""size_bucket"": ""large""}"
