row_index,NCT,PubMed ID,Trial name,source_value,phase_bucket,derived_expected_llm_response
1,NCT01585987,28655793,,Phase 2,early,"{""phase_bucket"": ""early""}"
2,NCT00527735,22547592,,Phase 2,early,"{""phase_bucket"": ""early""}"
3,NCT00527735,22547592,,Phase 2,early,"{""phase_bucket"": ""early""}"
4,NCT00527735,22858559,,Phase 2,early,"{""phase_bucket"": ""early""}"
5,NCT00527735,22858559,,Phase 2,early,"{""phase_bucket"": ""early""}"
6,NCT01450761,27458307,CA184-156,Phase 3,late,"{""phase_bucket"": ""late""}"
7,NCT01285609,28854067,,Phase 3,late,"{""phase_bucket"": ""late""}"
8,NCT00324155,21639810,,Phase 3,late,"{""phase_bucket"": ""late""}"
9,NCT00094653,20525992,MDX010-20,Phase 3,late,"{""phase_bucket"": ""late""}"
10,NCT00094653,20525992,MDX010-20,Phase 3,late,"{""phase_bucket"": ""late""}"
11,NCT00636168,27717298,,Phase 3,late,"{""phase_bucket"": ""late""}"
12,NCT00861614,24831977,CA184-043,Phase 3,late,"{""phase_bucket"": ""late""}"
13,NCT01057810,28034081,CA184-095,Phase 3,late,"{""phase_bucket"": ""late""}"
14,NCT01274338,31880964,E1609,Phase 3,late,"{""phase_bucket"": ""late""}"
15,NCT01274338,31880964,E1609,Phase 3,late,"{""phase_bucket"": ""late""}"
16,NCT01896869,32591464,,Phase 2,early,"{""phase_bucket"": ""early""}"
17,NCT00094653,23942774,MDX010-20,Phase 3,late,"{""phase_bucket"": ""late""}"
18,NCT00094653,23942774,MDX010-20,Phase 3,late,"{""phase_bucket"": ""late""}"
19,NCT00861614,32811715,CA184-043,Phase 3,late,"{""phase_bucket"": ""late""}"
20, NCT00636168,25840693,,Phase 3,late,"{""phase_bucket"": ""late""}"
