row_index,NCT,PubMed ID,Trial name,source_value,is_follow_up,derived_expected_llm_response
1,NCT02425891,30345906,IMpassion130,Original publication,false,"{""is_follow_up"": false}"
2,NCT02685059,31095287,GeparNuevo,Original publication,false,"{""is_follow_up"": false}"
3,NCT01042379,32053137,I-SPY2,Original publication,false,"{""is_follow_up"": false}"
4,NCT02425891,31786121,IMpassion130,Follow-up,true,"{""is_follow_up"": true}"
5,NCT03036488,32101663,KEYNOTE-522,Original publication,false,"{""is_follow_up"": false}"
6,NCT03051659,32880602,,Original publication,false,"{""is_follow_up"": false}"
7,NCT02819518,33278935,MK-3475/Keynote-355,Original publication,false,"{""is_follow_up"": false}"
8,NCT03197935,32966830,IMpassion031,Original publication,false,"{""is_follow_up"": false}"
9,NCT02924883,33002436,KATE2,Original publication,false,"{""is_follow_up"": false}"
10,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,Original publication,false,"{""is_follow_up"": false}"
11,NCT02555657,33676601,Keynote-119,Original publication,false,"{""is_follow_up"": false}"
