row_index,Number of arms,Secondary endpoint
1,3,≥3-arm
2,3,≥3-arm
3,2,2-arm
4,2,2-arm
5,3,≥3-arm
6,3,≥3-arm
7,2,2-arm
8,2,2-arm
9,2,2-arm
10,2,2-arm
11,2,2-arm
12,2,2-arm
13,2,2-arm
14,2,2-arm
15,2,2-arm
16,2,2-arm
17,2,2-arm
18,2,2-arm
19,3,≥3-arm
20,3,≥3-arm
21,3,≥3-arm
22,3,≥3-arm
23,4,≥3-arm
24,4,≥3-arm
25,4,≥3-arm
26,2,2-arm
27,2,2-arm
28,2,2-arm
29,2,2-arm
30,2,2-arm
31,4,≥3-arm
32,4,≥3-arm
33,4,≥3-arm
34,3,≥3-arm
35,3,≥3-arm
36,3,≥3-arm
37,3,≥3-arm
38,2,2-arm
39,2,2-arm
40,2,2-arm
41,2,2-arm
42,2,2-arm
43,2,2-arm
44,2,2-arm
45,2,2-arm
