row_index,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,,17.2 | 24 | 10.9 | 17.1
2,,17.2 | 24 | 10.9 | 17.1
3,,17.2 | 24 | 10.9 | 17.1
4,,17.2 | 24 | 10.9 | 17.1
5,15.1,15.4
6,10,
7,10,
8,28,
9,28,
10,5.3,5.4
11,6,
12,24,
13,9.6,
14,16.7,
15,38.4,
16,57.4,
17,57.4,
18,28.4,
19,28.4,
20,18.9,
21,,17.2 | 24 | 10.9 | 17.1
22,,17.2 | 24 | 10.9 | 17.1
23,,17.2 | 24 | 10.9 | 17.1
24,36.6,36.5
25,36.6,36.5
26,,17.2 | 24 | 10.9 | 17.1
