row_index,NCT,Cancer type,Type of therapy,is_combination,Monotherapy/combination
1,NCT01668784,Renal cell,Monotherapy,false,false
2,NCT01984242,Renal cell,Monotherapy,false,false
3,NCT01984242,Renal cell,Combination,true,true
4,NCT02231749,Renal cell,Combination,true,true
5,NCT02231749,Renal cell,Combination,true,true
6,NCT02684006,Renal cell,Combination,true,true
7,NCT02853331,Renal cell,Combination,true,true
8,NCT02420821,Renal cell,Combination,true,true
9,NCT02231749,Renal cell,Combination,true,true
10,NCT01668784,Renal cell,Monotherapy,false,false
11,NCT02684006,Renal cell,Combination,true,true
12,NCT02853331,Renal cell,Combination,true,true
13,NCT02811861,Renal cell,Combination,true,true
14,NCT03141177,Renal cell,Combination,true,true
