row_index,NCT,PubMed ID,Trial name,source_value,setting_normalized,derived_expected_llm_response
1,NCT00527735,22858559,,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
2,NCT00527735,22858559,,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
3,NCT01450761,27458307,CA184-156,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
4,NCT02763579,30280641,IMPower 133,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
5,NCT03059667,30664989,IFCT-1603,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
6,NCT03043872,31590988,CASPIAN,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
7,NCT03043872,31590988,CASPIAN,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
8,NCT02763579,31959349,IMpower133,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
9,NCT03066778,32468956,KEYNOTE-604,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
10,NCT03043872,33285097,CASPIAN,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
11,NCT03043872,33285097,CASPIAN,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
12,NCT02481830,33539946,CheckMate 331,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
13,NCT02538666,33683919,CheckMate 451,Maintenance,maintenance,"{""setting_normalized"": ""maintenance""}"
14,NCT02538666,33683919,CheckMate 451,Maintenance,maintenance,"{""setting_normalized"": ""maintenance""}"
