item_id,csv_row_number,expected_key,question,status,error,question_dir,ground_truth_table_csv
row_123,123,added_agents,"For Tremelimumab combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_123__For_Tremelimumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regime,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_123__For_Tremelimumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regime/ground_truth_table.csv
row_153,153,added_agents,"For Atezolizumab combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_153__For_Atezolizumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regime,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_153__For_Atezolizumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regime/ground_truth_table.csv
row_170,170,added_agents,"For Pembrolizumab combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_170__For_Pembrolizumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regim,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_170__For_Pembrolizumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regim/ground_truth_table.csv
row_196,196,added_agents,"For Chemotherapy combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_196__For_Chemotherapy_combination_therapy_trials_list_additional_agents_in_the_treatment_regime,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_196__For_Chemotherapy_combination_therapy_trials_list_additional_agents_in_the_treatment_regime/ground_truth_table.csv
row_197,197,added_agents,"For Durvalumab combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_197__For_Durvalumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regimen,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_197__For_Durvalumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regimen/ground_truth_table.csv
row_274,274,added_agents,"For Brentuximab-vedotin combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_274__For_Brentuximab_vedotin_combination_therapy_trials_list_additional_agents_in_the_treatment,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_274__For_Brentuximab_vedotin_combination_therapy_trials_list_additional_agents_in_the_treatment/ground_truth_table.csv
row_278,278,added_agents,"For Ipilimumab combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_278__For_Ipilimumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regimen,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_278__For_Ipilimumab_combination_therapy_trials_list_additional_agents_in_the_treatment_regimen/ground_truth_table.csv
row_288,288,added_agents,"For Nivolumab, Ipilimumab combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_288__For_Nivolumab_Ipilimumab_combination_therapy_trials_list_additional_agents_in_the_treatmen,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_288__For_Nivolumab_Ipilimumab_combination_therapy_trials_list_additional_agents_in_the_treatmen/ground_truth_table.csv
row_315,315,added_agents,"For Cemiplimab combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_315__For_Cemiplimab_combination_therapy_trials_list_additional_agents_in_the_treatment_regimen,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_315__For_Cemiplimab_combination_therapy_trials_list_additional_agents_in_the_treatment_regimen/ground_truth_table.csv
row_365,365,added_agents,"For Durvalumab, Tremelimumab combination therapy trials, list additional agents in the treatment regimen beyond the ICI.",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_365__For_Durvalumab_Tremelimumab_combination_therapy_trials_list_additional_agents_in_the_treat,/mnt/data1/srchowd3/FD-NL2SQL/data/table_derivation_ground_truths_table24/questions/added_agents__row_365__For_Durvalumab_Tremelimumab_combination_therapy_trials_list_additional_agents_in_the_treat/ground_truth_table.csv
