item_id,csv_row_number,question,column_used,expected_keys_json,key_signature,question_dir,ground_truth_row_count
row_2,2,"In Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,"[""class""]",class,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/class__row_2__In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_P,14
row_3,3,"In Esophageal/GEJ trials, convert 'Original/Follow up' status into a boolean is_follow_up.",Originial publication or Follow-up,"[""is_follow_up""]",is_follow_up,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_3__In_Esophageal_GEJ_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,2
row_4,4,"In Prostate trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,"[""is_combination""]",is_combination,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_4__In_Prostate_trials_convert_Type_of_therapy_into_is_combination_true_false,3
row_5,5,"For Avelumab trials in Multiple Myeloma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",trial_acronym,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/trial_acronym__row_5__For_Avelumab_trials_in_Multiple_Myeloma_extract_the_trial_acronym_from_the_trial_name_e_g,0
row_6,6,"In NSCLC studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.",Treatment regimen,"[""tki_agents""]",tki_agents,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/tki_agents__row_6__In_NSCLC_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_regimen,0
row_8,8,"For Atezolizumab trials, bucket the publication year into: ≤2014, 2015–2018, ≥2019.",Year,"[""era""]",era,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/era__row_8__For_Atezolizumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019,30
row_11,11,"For Nivolumab, Ipilimumab trials in Hodgkin Lymphoma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",trial_acronym,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/trial_acronym__row_11__For_Nivolumab_Ipilimumab_trials_in_Hodgkin_Lymphoma_extract_the_trial_acronym_from_the_tri,0
row_14,14,"For Durvalumab, Tremelimumab trials in Head and Neck, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",trial_acronym,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/trial_acronym__row_14__For_Durvalumab_Tremelimumab_trials_in_Head_and_Neck_extract_the_trial_acronym_from_the_tri,1
row_16,16,"In Head and Neck trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.",Secondary endpoint,"[""irAE_assessed""]",irAE_assessed,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_16__In_Head_and_Neck_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_ev,9
row_17,17,"For Atezolizumab trials in Pancreatic, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",trial_acronym,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/trial_acronym__row_17__For_Atezolizumab_trials_in_Pancreatic_extract_the_trial_acronym_from_the_trial_name_e_g_KE,0
