row_index,NCT,PubMed ID,Trial name,source_value,control_backbone,derived_expected_llm_response
1,NCT01673867,26412456,Checkmate 057,Docetaxel,,"{""control_backbone"": null}"
2,NCT01642004,26028407,Checkmate 017,Docetaxel,,"{""control_backbone"": null}"
3,NCT02041533,28636851,Checkmate 026,Platinum-based chemotherapy,,"{""control_backbone"": null}"
4,NCT02477826,29658845,Checkmate 227,Chemotherapy,,"{""control_backbone"": null}"
5,NCT02477826,31562796,Checkmate 227,Chemotherapy,,"{""control_backbone"": null}"
6,NCT02477826,31562796,Checkmate 227,Chemotherapy,,"{""control_backbone"": null}"
7,NCT02613507,30659987,Checkmate 078,Docetaxel,,"{""control_backbone"": null}"
8,NCT01721746,25795410,CheckMate 037,Dacarbazine/carboplatin+paclitaxel,Carboplatin+Paclitaxel,"{""control_backbone"": ""Carboplatin+Paclitaxel""}"
9,NCT01721746,28671856,CheckMate 037,Dacarbazine/carboplatin+paclitaxel,Carboplatin+Paclitaxel,"{""control_backbone"": ""Carboplatin+Paclitaxel""}"
10,NCT01721772,25399552,CheckMate 066,Dacarbazine,,"{""control_backbone"": null}"
11,NCT01721772,30422243,CheckMate 066,Dacarbazine,,"{""control_backbone"": null}"
12,NCT02569242,31582355,ATTRACTION-3,Paclitaxel/Docetaxel,,"{""control_backbone"": null}"
