item_id,csv_row_number,question,column_used,final_column,visible_value_count,actual_value_count,matched_items,total_items,exact_match_rate,avg_similarity,llm_raw_output,parsed_predictions_json,actual_mapping_json,notes
row_2,2,"In Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,Class of ICI,7,7,0,7,0.0,0.0,,,"{""\""Ipilimumab\"""": {""visible_value"": ""Ipilimumab"", ""actual_values"": [""CTLA-4""]}, ""\""Atezolizumab\"""": {""visible_value"": ""Atezolizumab"", ""actual_values"": [""PD-L1""]}, ""\""Durvalumab\"""": {""visible_value"": ""Durvalumab"", ""actual_values"": [""PD-L1""]}, ""\""Durvalumab, Tremelimumab\"""": {""visible_value"": ""Durvalumab, Tremelimumab"", ""actual_values"": [""PD-L1, CTLA-4""]}, ""\""Pembrolizumab\"""": {""visible_value"": ""Pembrolizumab"", ""actual_values"": [""PD1""]}, ""\""Nivolumab\"""": {""visible_value"": ""Nivolumab"", ""actual_values"": [""PD1""]}, ""\""Nivolumab, Ipilimumab\"""": {""visible_value"": ""Nivolumab, Ipilimumab"", ""actual_values"": [""PD1, CTLA-4""]}}",dry_run
row_36,36,"In Gastric/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,Class of ICI,4,4,0,4,0.0,0.0,,,"{""\""Ipilimumab\"""": {""visible_value"": ""Ipilimumab"", ""actual_values"": [""CTLA-4""]}, ""\""Nivolumab\"""": {""visible_value"": ""Nivolumab"", ""actual_values"": [""PD1""]}, ""\""Avelumab\"""": {""visible_value"": ""Avelumab"", ""actual_values"": [""PD-L1""]}, ""\""Pembrolizumab\"""": {""visible_value"": ""Pembrolizumab"", ""actual_values"": [""PD1""]}}",dry_run
row_24,24,"In NSCLC trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.",Control regimen,Control arm,0,0,0,0,0.0,0.0,,,{},dry_run
row_30,30,"In melanoma trials using ICI+MEKi, list the MEK inhibitor(s) mentioned in the treatment regimen.",Treatment regimen,Control regimen,0,0,0,0,0.0,0.0,,,{},dry_run
row_10,10,"In Melanoma trials, bucket overall follow-up months into <12, 12–23, or ≥24.",Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control,14,14,0,14,0.0,0.0,,,"{""null"": {""visible_value"": null, ""actual_values"": [null, ""17.2"", ""24"", ""10.9"", ""17.1""]}, ""\""15.1\"""": {""visible_value"": ""15.1"", ""actual_values"": [""15.4""]}, ""\""10\"""": {""visible_value"": ""10"", ""actual_values"": [null]}, ""\""28\"""": {""visible_value"": ""28"", ""actual_values"": [null]}, ""\""5.3\"""": {""visible_value"": ""5.3"", ""actual_values"": [""5.4""]}, ""\""6\"""": {""visible_value"": ""6"", ""actual_values"": [null]}, ""\""24\"""": {""visible_value"": ""24"", ""actual_values"": [null]}, ""\""9.6\"""": {""visible_value"": ""9.6"", ""actual_values"": [null]}, ""\""16.7\"""": {""visible_value"": ""16.7"", ""actual_values"": [null]}, ""\""38.4\"""": {""visible_value"": ""38.4"", ""actual_values"": [null]}, ""\""57.4\"""": {""visible_value"": ""57.4"", ""actual_values"": [null]}, ""\""28.4\"""": {""visible_value"": ""28.4"", ""actual_values"": [null]}, ""\""18.9\"""": {""visible_value"": ""18.9"", ""actual_values"": [null]}, ""\""36.6\"""": {""visible_value"": ""36.6"", ""actual_values"": [null, ""36.5""]}}",dry_run
row_18,18,"For trials with composite or co-primary endpoints, list the individual components from the primary endpoint text.",Primary endpoint,Follow-up duration for primary endpoint(s) in months | Overall,0,0,0,0,0.0,0.0,,,{},dry_run
row_4,4,"In Prostate trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,Monotherapy/combination,2,2,0,2,0.0,0.0,,,"{""\""Combination\"""": {""visible_value"": ""Combination"", ""actual_values"": [""Combination""]}, ""\""Monotherapy\"""": {""visible_value"": ""Monotherapy"", ""actual_values"": [""Monotherapy""]}}",dry_run
row_35,35,"In Pancreatic trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,Monotherapy/combination,1,1,0,1,0.0,0.0,,,"{""\""Combination\"""": {""visible_value"": ""Combination"", ""actual_values"": [""Combination""]}}",dry_run
row_20,20,"In Mesothelioma trials, categorize number of arms as 1-arm, 2-arm, or ≥3-arm.",Number of arms,Secondary endpoint,1,1,0,1,0.0,0.0,,,"{""2"": {""visible_value"": 2, ""actual_values"": [""18-month OS; disease control and durable disease control; PFS; proportion of patients achieving an objective response; duration of response;  patient-reported outcomes; pharmacokinetics; immunogenicity of tremelimumab; and safety and tolerability."", ""PFS, ORR, time to response, DoR, DCR"", ""investigator-assessed PFS, OS, ORR, time to treatment failure, safety""]}}",dry_run
row_9,9,"In Urothelial trials comparing ICI to placebo, infer from the trial name whether ICI was used as induction or maintenance.",Trial name,Treatment regimen,1,1,0,1,0.0,0.0,,,"{""null"": {""visible_value"": null, ""actual_values"": [""Pembrolizumab""]}}",dry_run
