row_index,Trial name,Is any other biomarker used for inclusion
1,,
2,MDX010-20,MDX010-20
3,MDX010-20,MDX010-20
4,,
5,EORTC 1325-MG/KEYNOTE-054,EORTC 1325-MG
6,KEYNOTE-002,
7,KEYNOTE-002,
8,KEYNOTE-002,
9,KEYNOTE-002,
10,,
11,CheckMate 037,
12,CheckMate 037,
13,KEYNOTE-022,
14,CheckMate 066,
15,CheckMate 066,
16,E1609,
17,E1609,
18,IMMUNED,
19,IMMUNED,
20,IMspire150,
21,MDX010-20,MDX010-20
22,MDX010-20,MDX010-20
23,CheckMate 066,
24,KEYNOTE-022,
25,EORTC 1325-MG/KEYNOTE-054,EORTC 1325-MG
26,,
