row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT01668784,CheckMate 025,14,
2,NCT01984242,IMmotion150,20.7,
3,NCT01984242,IMmotion150,20.7,
4,NCT02231749,CheckMate 214,25.2,
5,NCT02231749,CheckMate 214,32.4,
6,NCT02684006,JAVELIN Renal 101,,"10.7, 8.4 | 8.0,NE"
7,NCT02853331,KEYNOTE-426,12.8,
8,NCT02420821,IMmotion151,"24, 15",
9,NCT02231749,CheckMate 214,42,
10,NCT01668784,CheckMate 025,,19.7
11,NCT02684006,JAVELIN Renal 101,,"10.7, 8.4 | 8.0,NE"
12,NCT02853331,Keynote-426,30.6,35.7
13,NCT02811861,CLEAR,26.6,
14,NCT03141177,CheckMate 9ER,18.1,
