row_index,NCT,PubMed ID,Trial name,source_value,phase_bucket,derived_expected_llm_response
1,NCT02685059,31095287,GeparNuevo,Phase 2,early,"{""phase_bucket"": ""early""}"
2,NCT02125461,28885881,PACIFIC,Phase 3,late,"{""phase_bucket"": ""late""}"
3,NCT02125461,30280658,PACIFIC,Phase 3,late,"{""phase_bucket"": ""late""}"
4,NCT02454933,30763730,CAURAL,Phase 3,late,"{""phase_bucket"": ""late""}"
5,NCT03043872,31590988,CASPIAN,Phase 3,late,"{""phase_bucket"": ""late""}"
6,NCT02352948,32201234,ARCTIC,Phase 3,late,"{""phase_bucket"": ""late""}"
7,NCT02453282,32271377,MYSTIC,Phase 3,late,"{""phase_bucket"": ""late""}"
8,NCT02369874,32294530,EAGLE,Phase 3,late,"{""phase_bucket"": ""late""}"
9,NCT02516241,32971005,DANUBE,Phase 3,late,"{""phase_bucket"": ""late""}"
10,NCT03043872,33285097,CASPIAN,Phase 3,late,"{""phase_bucket"": ""late""}"
11,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,Phase 2,early,"{""phase_bucket"": ""early""}"
