item_id,csv_row_number,question,ground_truth_column,status,error,question_dir,ground_truth_table_csv
row_2,2,"In Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Class of ICI,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Class_of_ICI__row_2__In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_P,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Class_of_ICI__row_2__In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_P/ground_truth_table.csv
row_3,3,"In Gastric/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Class of ICI,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Class_of_ICI__row_3__In_Gastric_GEJ_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Class_of_ICI__row_3__In_Gastric_GEJ_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1/ground_truth_table.csv
row_4,4,"In Esophageal/GEJ Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_4__In_Esophageal_GEJ_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_D,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_4__In_Esophageal_GEJ_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_D/ground_truth_table.csv
row_5,5,"In Melanoma Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_5__In_Melanoma_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_DOR,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_5__In_Melanoma_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_DOR/ground_truth_table.csv
row_6,6,"In Mesothelioma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_6__In_Mesothelioma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_6__In_Mesothelioma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS/ground_truth_table.csv
row_7,7,"In Multiple Myeloma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_7__In_Multiple_Myeloma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_7__In_Multiple_Myeloma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR/ground_truth_table.csv
row_8,8,"In Colorectal Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_8__In_Colorectal_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_D,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_8__In_Colorectal_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_D/ground_truth_table.csv
row_9,9,"In Bladder trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Class of ICI,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Class_of_ICI__row_9__In_Bladder_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1_or,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Class_of_ICI__row_9__In_Bladder_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1_or/ground_truth_table.csv
row_10,10,"In Multiple Myeloma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Class of ICI,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Class_of_ICI__row_10__In_Multiple_Myeloma_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Class_of_ICI__row_10__In_Multiple_Myeloma_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1/ground_truth_table.csv
row_11,11,"In Gastric/GEJ Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_11__In_Gastric_GEJ_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS,/mnt/data1/srchowd3/FD-NL2SQL/data/table_rows_ground_truth_strict_090/questions/Primary_endpoint__row_11__In_Gastric_GEJ_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS/ground_truth_table.csv
