row_index,NCT,PubMed ID,Originial publication or Follow-up
1,,,Original publication
2,,,Original publication
3,,,Original publication
4,,,Original publication
5,,,Original publication
6,,,Original publication
7,,,Original publication
8,,,Original publication
9,,,Original publication
10,,,Original publication
11,,,Follow-up
12,,,Original publication
13,,,Original publication
14,,,Follow-up
15,,,Original publication
16,,,Follow-up
17,,,Original publication
18,,,Original publication
19,,,Original publication
20,,,Original publication
21,,,Original publication
22,,,Original publication
23,,,Follow-up
24,,,Follow-up
25,,,Follow-up
26,,,Original publication
27,,,Follow-up
28,,,Original publication
29,,,Original publication
30,,,Original publication
31,,,Original publication
32,,,Original publication
33,,,Original publication
34,,,Original publication
35,,,Original publication
36,,,Original publication
37,,,Original publication
38,,,Original publication
39,,,Original publication
40,,,Original publication
41,,,Follow-up
42,,,Follow-up
43,,,Original publication
44,,,Original publication
45,,,Original publication
