row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT02425891,IMpassion130,12.9,12.5
2,NCT02685059,GeparNuevo,,
3,NCT01042379,I-SPY2,,36
4,NCT02425891,IMpassion130,,17.5
5,NCT03036488,KEYNOTE-522,15.5,
6,NCT03051659,,10.5,
7,NCT02819518,MK-3475/Keynote-355,,26.3
8,NCT03197935,IMpassion031,,19.8
9,NCT02924883,KATE2,,8.4
10,NCT02299999,SAFIR02-BREAST IMMUNO,19.7,
11,NCT02555657,Keynote-119,31.4,
