row_index,NCT,PubMed ID,Treatment regimen,Control regimen
1,,,Pembrolizumab+Axitinib,Sunitinib
2,,,Pembrolizumab+Pemetrexed+Carboplatin,Pemetrexed+Carboplatin
3,,,Pembrolizumab+Pemetrexed+Carboplatin,Pemetrexed+Carboplatin
4,,,Pembrolizumab+Platinum agent,Placebo+Pemetrexed+Platinum agent
5,,,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,Placebo+Carboplatin+paclitaxel/nab-paclitaxel
6,,,Pembrolizumab+Dabrafenib+Trametinib,Dabrafenib+trametinib+placebo
7,,,Pembrolizumab+Pomalidomide+Dexamethasone,Pomalidomide+Dexamethasone
8,,,Pembrolizumab+Lenalidomide+Dexamethasone,Lenalidomide+Dexamethasone
9,,,Pembrolizumab+Paclitaxel,Paclitaxel+Doxorubicin+Cyclophosphamide
10,,,Pembrolizumab+Platinum agent+5-Fluorouracil,Cetuximab+Platinum agent+5-fluorouracil
11,,,Pembrolizumab+Acalabrutinib,Acalabrutinib
12,,,Pembrolizumab+Paclitaxel+Carboplatin,Placebo+Paclitaxel+Carboplatin
13,,,Pembrolizumab+Etoposide+Platinum agent,Placebo+Etoposide+Platinum agent
14,,,Pembrolizumab+ Docetaxel,Docetaxel
15,,,Pembrolizumab+Eribulin,Eribulin
16,,,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Placebo+Cisplatin+5-FU+Capecitabine
17,,,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,Placebo+Nab-paclitaxel/Gemcitabine+carboplatin
18,,,Pembrolizumab+Axitinib,Sunitinib
19,,,Pembrolizumab+Dabrafenib+Trametinib,Dabrafenib+trametinib+placebo
20,,,Pembrolizumab+Lenvatinib,Sunitinib
