row_index,NCT,Trial name,Number of arms,Secondary endpoint
1,NCT00527735,,3,≥3-arm
2,NCT00527735,,3,≥3-arm
3,NCT01450761,CA184-156,2,2-arm
4,NCT02763579,IMPower 133,2,2-arm
5,NCT03059667,IFCT-1603,2,2-arm
6,NCT03043872,CASPIAN,3,≥3-arm
7,NCT03043872,CASPIAN,3,≥3-arm
8,NCT02763579,IMpower133,2,2-arm
9,NCT03066778,KEYNOTE-604,2,2-arm
10,NCT03043872,CASPIAN,3,≥3-arm
11,NCT03043872,CASPIAN,3,≥3-arm
12,NCT02481830,CheckMate 331,2,2-arm
13,NCT02538666,CheckMate 451,3,≥3-arm
14,NCT02538666,CheckMate 451,3,≥3-arm
