row_index,NCT,PubMed ID,Trial name,source_value,size_bucket,derived_expected_llm_response,table_row_id
1,NCT02267343,28993052,ATTRACTION-2,493.0,large,"{""size_bucket"": ""large""}",
2,NCT02105636,27718784,CheckMate 141,361.0,large,"{""size_bucket"": ""large""}",
3,NCT02105636,29884413,CheckMate 141,361.0,large,"{""size_bucket"": ""large""}",
4,NCT01668784,26406148,CheckMate 025,821.0,large,"{""size_bucket"": ""large""}",
5,NCT01673867,26412456,Checkmate 057,582.0,large,"{""size_bucket"": ""large""}",
6,NCT01642004,26028407,Checkmate 017,272.0,medium,"{""size_bucket"": ""medium""}",
7,NCT02041533,28636851,Checkmate 026,423.0,large,"{""size_bucket"": ""large""}",
8,NCT02477826,29658845,Checkmate 227,1739.0,large,"{""size_bucket"": ""large""}",
9,NCT02477826,31562796,Checkmate 227,1739.0,large,"{""size_bucket"": ""large""}",
10,NCT02477826,31562796,Checkmate 227,1739.0,large,"{""size_bucket"": ""large""}",
11,NCT02613507,30659987,Checkmate 078,504.0,large,"{""size_bucket"": ""large""}",
12,NCT01721746,25795410,CheckMate 037,405.0,large,"{""size_bucket"": ""large""}",
13,NCT01721746,28671856,CheckMate 037,405.0,large,"{""size_bucket"": ""large""}",
14,NCT01721772,25399552,CheckMate 066,418.0,large,"{""size_bucket"": ""large""}",
15,NCT01721772,30422243,CheckMate 066,418.0,large,"{""size_bucket"": ""large""}",
16,NCT02267343,31863227,ATTRACTION-2,493.0,large,"{""size_bucket"": ""large""}",
17,NCT02569242,31582355,ATTRACTION-3,419.0,large,"{""size_bucket"": ""large""}",
18,NCT02523313,32416781,IMMUNED,167.0,medium,"{""size_bucket"": ""medium""}",
19,NCT02017717,32437507,CheckMate 143,369.0,large,"{""size_bucket"": ""large""}",
20,NCT01668784,32673417,CheckMate 025,821.0,large,"{""size_bucket"": ""large""}",
21,NCT01721772,32997575,CheckMate 066,418.0,large,"{""size_bucket"": ""large""}",
22,NCT02481830,33539946,CheckMate 331,569.0,large,"{""size_bucket"": ""large""}",
23,NCT03141177,33657295,CheckMate 9ER,651.0,large,"{""size_bucket"": ""large""}",
24,NCT02538666,33683919,CheckMate 451,834.0,large,"{""size_bucket"": ""large""}",
25,NCT02852083, 33796020,ModuLung,40.0,small,"{""size_bucket"": ""small""}",
26,NCT02743494,33789008,CheckMate 577,,,"{""size_bucket"": null}",158
