row_index,NCT,Trial name,Number of arms,Secondary endpoint
1,NCT00324155,,2,2-arm
2,NCT00094653,MDX010-20,3,≥3-arm
3,NCT00094653,MDX010-20,3,≥3-arm
4,NCT00257205,,2,2-arm
5,NCT02362594,EORTC 1325-MG/KEYNOTE-054,2,2-arm
6,NCT01704287,KEYNOTE-002,3,≥3-arm
7,NCT01704287,KEYNOTE-002,3,≥3-arm
8,NCT01704287,KEYNOTE-002,3,≥3-arm
9,NCT01704287,KEYNOTE-002,3,≥3-arm
10,NCT00636168,,2,2-arm
11,NCT01721746,CheckMate 037,2,2-arm
12,NCT01721746,CheckMate 037,2,2-arm
13,NCT02130466,KEYNOTE-022,2,2-arm
14,NCT01721772,CheckMate 066,2,2-arm
15,NCT01721772,CheckMate 066,2,2-arm
16,NCT01274338,E1609,3,≥3-arm
17,NCT01274338,E1609,3,≥3-arm
18,NCT02523313,IMMUNED,3,≥3-arm
19,NCT02523313,IMMUNED,3,≥3-arm
20,NCT02908672,IMspire150,2,2-arm
21,NCT00094653,MDX010-20,3,≥3-arm
22,NCT00094653,MDX010-20,3,≥3-arm
23,NCT01721772,CheckMate 066,2,2-arm
24,NCT02130466,KEYNOTE-022,2,2-arm
25,NCT02362594,EORTC 1325-MG/KEYNOTE-054,2,2-arm
26,NCT00636168,,2,2-arm
