row_index,NCT,PubMed ID,Trial name,source_value,added_agents,derived_expected_llm_response
1,NCT00527735,22547592,,Concurrent ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}"
2,NCT00527735,22547592,,Phased ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}"
3,NCT00527735,22858559,,Concurrent ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}"
4,NCT00527735,22858559,,Phased ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}"
5,NCT01450761,27458307,CA184-156,Ipilimumab+Etoposide+Platinum agent,"[""etoposide"", ""platinum agent""]","{""added_agents"": [""etoposide"", ""platinum agent""]}"
6,NCT01285609,28854067,,Ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}"
7,NCT00324155,21639810,,Ipilimumab+Dacarbazine,"[""dacarbazine""]","{""added_agents"": [""dacarbazine""]}"
8,NCT00094653,20525992,MDX010-20,Ipilimumab+Gp100 Vaccine,"[""gp100 vaccine""]","{""added_agents"": [""gp100 vaccine""]}"
9,NCT00861614,24831977,CA184-043,Ipilimumab,,"{""added_agents"": null}"
10,NCT01896869,32591464,,Ipilimumab+GVAX,"[""gvax""]","{""added_agents"": [""gvax""]}"
11,NCT00094653,23942774,MDX010-20,Ipilimumab+Gp100 Vaccine,"[""gp100 vaccine""]","{""added_agents"": [""gp100 vaccine""]}"
12,NCT00861614,32811715,CA184-043,Ipilimumab,,"{""added_agents"": null}"
