row_index,Name of ICI,Class of ICI
1,Ipilimumab,CTLA-4
2,Ipilimumab,CTLA-4
3,Ipilimumab,CTLA-4
4,Tremelimumab,CTLA-4
5,Pembrolizumab,PD-1
6,Pembrolizumab,PD-1
7,Pembrolizumab,PD-1
8,Pembrolizumab,PD-1
9,Pembrolizumab,PD-1
10,Ipilimumab,CTLA-4
11,Nivolumab,PD-1
12,Nivolumab,PD-1
13,Pembrolizumab,PD-1
14,Nivolumab,PD-1
15,Nivolumab,PD-1
16,Ipilimumab,CTLA-4
17,Ipilimumab,CTLA-4
18,Nivolumab,PD-1
19,"Nivolumab, Ipilimumab","['PD-1', 'CTLA-4']"
20,Atezolizumab,PD-L1
21,Ipilimumab,CTLA-4
22,Ipilimumab,CTLA-4
23,Nivolumab,PD-1
24,Pembrolizumab,PD-1
25,Pembrolizumab,PD-1
26,Ipilimumab,CTLA-4
