row_index,NCT,PubMed ID,Originial publication or Follow-up
1,,,Original publication
2,,,Original publication
3,,,Original publication
4,,,Original publication
5,,,Original publication
6,,,Original publication
7,,,Original publication
8,,,Follow-up
9,,,Follow-up
10,,,Original publication
11,,,Original publication
12,,,Follow-up
13,,,Original publication
14,,,Original publication
15,,,Follow-up
16,,,Original publication
17,,,Original publication
18,,,Original publication
19,,,Original publication
20,,,Original publication
21,,,Follow-up
22,,,Follow-up
23,,,Follow-up
24,,,Original publication
25,,,Follow-up
26,,,Original publication
