row_index,Number of arms category,Cancer type,Secondary endpoint
1,≥3-arm,Small Cell Lung,≥3-arm
2,≥3-arm,Small Cell Lung,≥3-arm
3,2-arm,Small Cell Lung,2-arm
4,2-arm,Small Cell Lung,2-arm
5,2-arm,Small Cell Lung,2-arm
6,≥3-arm,Small Cell Lung,≥3-arm
7,≥3-arm,Small Cell Lung,≥3-arm
8,2-arm,Small Cell Lung,2-arm
9,2-arm,Small Cell Lung,2-arm
10,≥3-arm,Small Cell Lung,≥3-arm
11,≥3-arm,Small Cell Lung,≥3-arm
12,2-arm,Small Cell Lung,2-arm
13,≥3-arm,Small Cell Lung,≥3-arm
14,≥3-arm,Small Cell Lung,≥3-arm
