row_index,NCT,PubMed ID,Trial name,source_value,pubmed_url,derived_expected_llm_response
1,NCT02302807,29268948,IMvigor211,29268948,https://pubmed.ncbi.nlm.nih.gov/29268948/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29268948/""}"
2,NCT02256436,28212060,Keynote-045,28212060,https://pubmed.ncbi.nlm.nih.gov/28212060/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28212060/""}"
3,NCT02256436,31050707,Keynote-045,31050707,https://pubmed.ncbi.nlm.nih.gov/31050707/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31050707/""}"
4,NCT02425891,30345906,IMpassion130,30345906,https://pubmed.ncbi.nlm.nih.gov/30345906/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30345906/""}"
5,NCT02685059,31095287,GeparNuevo,31095287,https://pubmed.ncbi.nlm.nih.gov/31095287/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31095287/""}"
6,NCT02788279,31003911,IMblaze130,31003911,https://pubmed.ncbi.nlm.nih.gov/31003911/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31003911/""}"
7,NCT02788279,31003911,IMblaze130,31003911,https://pubmed.ncbi.nlm.nih.gov/31003911/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31003911/""}"
8,NCT01585987,28655793,,28655793,https://pubmed.ncbi.nlm.nih.gov/28655793/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28655793/""}"
9,NCT02267343,28993052,ATTRACTION-2,28993052,https://pubmed.ncbi.nlm.nih.gov/28993052/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28993052/""}"
10,NCT02625623,30052729,JAVELIN Gastric 300,30052729,https://pubmed.ncbi.nlm.nih.gov/30052729/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30052729/""}"
11,NCT02370498,29880231,Keynote-061,29880231,https://pubmed.ncbi.nlm.nih.gov/29880231/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29880231/""}"
12,NCT02252042,30509740,KEYNOTE-040,30509740,https://pubmed.ncbi.nlm.nih.gov/30509740/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30509740/""}"
13,NCT02105636,27718784,CheckMate 141,27718784,https://pubmed.ncbi.nlm.nih.gov/27718784/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/27718784/""}"
14,NCT02105636,29884413,CheckMate 141,29884413,https://pubmed.ncbi.nlm.nih.gov/29884413/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29884413/""}"
15,NCT01668784,26406148,CheckMate 025,26406148,https://pubmed.ncbi.nlm.nih.gov/26406148/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/26406148/""}"
16,NCT01984242,29867230,IMmotion150,29867230,https://pubmed.ncbi.nlm.nih.gov/29867230/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29867230/""}"
17,NCT01984242,29867230,IMmotion150,29867230,https://pubmed.ncbi.nlm.nih.gov/29867230/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29867230/""}"
18,NCT02231749,29562145,CheckMate 214,29562145,https://pubmed.ncbi.nlm.nih.gov/29562145/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29562145/""}"
19,NCT02231749,31427204,CheckMate 214,31427204,https://pubmed.ncbi.nlm.nih.gov/31427204/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31427204/""}"
20,NCT02684006,30779531,JAVELIN Renal 101,30779531,https://pubmed.ncbi.nlm.nih.gov/30779531/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30779531/""}"
21,NCT02853331,30779529,KEYNOTE-426,30779529,https://pubmed.ncbi.nlm.nih.gov/30779529/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30779529/""}"
22,NCT02420821,31079938,IMmotion151,31079938,https://pubmed.ncbi.nlm.nih.gov/31079938/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31079938/""}"
23,NCT01673867,26412456,Checkmate 057,26412456,https://pubmed.ncbi.nlm.nih.gov/26412456/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/26412456/""}"
24,NCT01642004,26028407,Checkmate 017,26028407,https://pubmed.ncbi.nlm.nih.gov/26028407/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/26028407/""}"
25,NCT01905657,26712084,Keynote-010,26712084,https://pubmed.ncbi.nlm.nih.gov/26712084/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/26712084/""}"
26,NCT01905657,26712084,Keynote-010,26712084,https://pubmed.ncbi.nlm.nih.gov/26712084/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/26712084/""}"
27,NCT01903993,26970723,POPLAR,26970723,https://pubmed.ncbi.nlm.nih.gov/26970723/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/26970723/""}"
28,NCT01450761,27458307,CA184-156,27458307,https://pubmed.ncbi.nlm.nih.gov/27458307/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/27458307/""}"
29,NCT02041533,28636851,Checkmate 026,28636851,https://pubmed.ncbi.nlm.nih.gov/28636851/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28636851/""}"
30,NCT01285609,28854067,,28854067,https://pubmed.ncbi.nlm.nih.gov/28854067/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28854067/""}"
31,NCT02125461,28885881,PACIFIC,28885881,https://pubmed.ncbi.nlm.nih.gov/28885881/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28885881/""}"
32,NCT02125461,30280658,PACIFIC,30280658,https://pubmed.ncbi.nlm.nih.gov/30280658/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30280658/""}"
