row_index,NCT,PubMed ID,Trial name,source_value,arm_category,derived_expected_llm_response
1,NCT00527735,22858559,,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
2,NCT00527735,22858559,,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
3,NCT01450761,27458307,CA184-156,2,2-arm,"{""arm_category"": ""2-arm""}"
4,NCT02763579,30280641,IMPower 133,2,2-arm,"{""arm_category"": ""2-arm""}"
5,NCT03059667,30664989,IFCT-1603,2,2-arm,"{""arm_category"": ""2-arm""}"
6,NCT03043872,31590988,CASPIAN,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
7,NCT03043872,31590988,CASPIAN,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
8,NCT02763579,31959349,IMpower133,2,2-arm,"{""arm_category"": ""2-arm""}"
9,NCT03066778,32468956,KEYNOTE-604,2,2-arm,"{""arm_category"": ""2-arm""}"
10,NCT03043872,33285097,CASPIAN,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
11,NCT03043872,33285097,CASPIAN,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
12,NCT02481830,33539946,CheckMate 331,2,2-arm,"{""arm_category"": ""2-arm""}"
13,NCT02538666,33683919,CheckMate 451,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
14,NCT02538666,33683919,CheckMate 451,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
