row_index,NCT,PubMed ID,Trial name,source_value,arm_category,derived_expected_llm_response,table_row_id
1,NCT00527735,22858559,,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",25
2,NCT00527735,22858559,,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",26
3,NCT01450761,27458307,CA184-156,2,2-arm,"{""arm_category"": ""2-arm""}",32
4,NCT02763579,30280641,IMPower 133,2,2-arm,"{""arm_category"": ""2-arm""}",43
5,NCT03059667,30664989,IFCT-1603,2,2-arm,"{""arm_category"": ""2-arm""}",53
6,NCT03043872,31590988,CASPIAN,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",82
7,NCT03043872,31590988,CASPIAN,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",83
8,NCT02763579,31959349,IMpower133,2,2-arm,"{""arm_category"": ""2-arm""}",87
9,NCT03066778,32468956,KEYNOTE-604,2,2-arm,"{""arm_category"": ""2-arm""}",98
10,NCT03043872,33285097,CASPIAN,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",137
11,NCT03043872,33285097,CASPIAN,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",138
12,NCT02481830,33539946,CheckMate 331,2,2-arm,"{""arm_category"": ""2-arm""}",147
13,NCT02538666,33683919,CheckMate 451,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",149
14,NCT02538666,33683919,CheckMate 451,3,≥3-arm,"{""arm_category"": ""≥3-arm""}",150
