row_index,NCT,PubMed ID,Trial name,source_value,followup_bucket,derived_expected_llm_response
1,NCT00324155,21639810,,,,"{""followup_bucket"": null}"
2,NCT00094653,20525992,MDX010-20,,,"{""followup_bucket"": null}"
3,NCT00094653,20525992,MDX010-20,,,"{""followup_bucket"": null}"
4,NCT00257205,23295794,,,,"{""followup_bucket"": null}"
5,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,15.1,12–23,"{""followup_bucket"": ""12–23""}"
6,NCT01704287,26115796,KEYNOTE-002,10,<12,"{""followup_bucket"": ""<12""}"
7,NCT01704287,26115796,KEYNOTE-002,10,<12,"{""followup_bucket"": ""<12""}"
8,NCT01704287,28961465,KEYNOTE-002,28,≥24,"{""followup_bucket"": ""≥24""}"
9,NCT01704287,28961465,KEYNOTE-002,28,≥24,"{""followup_bucket"": ""≥24""}"
10,NCT00636168,27717298,,5.3,<12,"{""followup_bucket"": ""<12""}"
11,NCT01721746,25795410,CheckMate 037,6,<12,"{""followup_bucket"": ""<12""}"
12,NCT01721746,28671856,CheckMate 037,24,≥24,"{""followup_bucket"": ""≥24""}"
13,NCT02130466,31171878,KEYNOTE-022,9.6,<12,"{""followup_bucket"": ""<12""}"
14,NCT01721772,25399552,CheckMate 066,16.7,12–23,"{""followup_bucket"": ""12–23""}"
15,NCT01721772,30422243,CheckMate 066,38.4,≥24,"{""followup_bucket"": ""≥24""}"
16,NCT01274338,31880964,E1609,57.4,≥24,"{""followup_bucket"": ""≥24""}"
17,NCT01274338,31880964,E1609,57.4,≥24,"{""followup_bucket"": ""≥24""}"
18,NCT02523313,32416781,IMMUNED,28.4,≥24,"{""followup_bucket"": ""≥24""}"
19,NCT02523313,32416781,IMMUNED,28.4,≥24,"{""followup_bucket"": ""≥24""}"
20,NCT02908672,32534646,IMspire150,18.9,12–23,"{""followup_bucket"": ""12–23""}"
21,NCT00094653,23942774,MDX010-20,,,"{""followup_bucket"": null}"
22,NCT00094653,23942774,MDX010-20,,,"{""followup_bucket"": null}"
23,NCT01721772,32997575,CheckMate 066,,,"{""followup_bucket"": null}"
24,NCT02130466,33361337,KEYNOTE-022,36.6,≥24,"{""followup_bucket"": ""≥24""}"
25,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,36.6,≥24,"{""followup_bucket"": ""≥24""}"
26, NCT00636168,25840693,,,,"{""followup_bucket"": null}"
