row_index,NCT,PubMed ID,Trial name,source_value,phase_bucket,derived_expected_llm_response,table_row_id
1,NCT02256436,28212060,Keynote-045,Phase 3,late,"{""phase_bucket"": ""late""}",2
2,NCT02256436,31050707,Keynote-045,Phase 3,late,"{""phase_bucket"": ""late""}",3
3,NCT02370498,29880231,Keynote-061,Phase 3,late,"{""phase_bucket"": ""late""}",11
4,NCT02252042,30509740,KEYNOTE-040,Phase 3,late,"{""phase_bucket"": ""late""}",12
5,NCT02853331,30779529,KEYNOTE-426,Phase 3,late,"{""phase_bucket"": ""late""}",21
6,NCT01905657,26712084,Keynote-010,Phase 2,early,"{""phase_bucket"": ""early""}",29
7,NCT01905657,26712084,Keynote-010,Phase 2,early,"{""phase_bucket"": ""early""}",30
8,NCT02039674,27745820,Keynote-021,Phase 2,early,"{""phase_bucket"": ""early""}",38
9,NCT02039674,30138764,Keynote-021,Phase 2,early,"{""phase_bucket"": ""early""}",39
10,NCT02578680,29658856,Keynote-189,Phase 3,late,"{""phase_bucket"": ""late""}",42
11,NCT02775435,30280635,Keynote-407,Phase 3,late,"{""phase_bucket"": ""late""}",44
12,NCT02220894,30955977,Keynote-042,Phase 3,late,"{""phase_bucket"": ""late""}",52
13,NCT02142738,30620668,Keynote-024,Phase 3,late,"{""phase_bucket"": ""late""}",54
14,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,Phase 3,late,"{""phase_bucket"": ""late""}",62
15,NCT01704287,26115796,KEYNOTE-002,Phase 2,early,"{""phase_bucket"": ""early""}",63
16,NCT01704287,26115796,KEYNOTE-002,Phase 2,early,"{""phase_bucket"": ""early""}",64
17,NCT01704287,28961465,KEYNOTE-002,Phase 2,early,"{""phase_bucket"": ""early""}",65
18,NCT01704287,28961465,KEYNOTE-002,Phase 2,early,"{""phase_bucket"": ""early""}",66
19,NCT02130466,31171878,KEYNOTE-022,Phase 2,early,"{""phase_bucket"": ""early""}",70
20,NCT02576977,31327687,KEYNOTE-183,Phase 3,late,"{""phase_bucket"": ""late""}",74
21,NCT02579863,31327689,KEYNOTE-185,Phase 3,late,"{""phase_bucket"": ""late""}",75
22,NCT02702401,31790344,KEYNOTE-240,Phase 3,late,"{""phase_bucket"": ""late""}",79
23,NCT01042379,32053137,I-SPY2,Phase 2,early,"{""phase_bucket"": ""early""}",81
24,NCT02358031,31679945,KEYNOTE-048,Phase 3,late,"{""phase_bucket"": ""late""}",85
25,NCT02358031,31679945,KEYNOTE-048,Phase 3,late,"{""phase_bucket"": ""late""}",86
26,NCT02362048,32114502,KEYNOTE144,Phase 2,early,"{""phase_bucket"": ""early""}",88
27,NCT03036488,32101663,KEYNOTE-522,Phase 3,late,"{""phase_bucket"": ""late""}",92
28,NCT03066778,32468956,KEYNOTE-604,Phase 3,late,"{""phase_bucket"": ""late""}",98
29,NCT02500121,32271672,,Phase 2,early,"{""phase_bucket"": ""early""}",106
30,NCT02574598,32271354,PROLUNG,Phase 2,early,"{""phase_bucket"": ""early""}",113
31,NCT02142738,27718847,Keynote-024,Phase 3,late,"{""phase_bucket"": ""late""}",116
32,NCT03051659,32880602,,Phase 2,early,"{""phase_bucket"": ""early""}",119
33,NCT02494583,32880601,Keynote-062,Phase 3,late,"{""phase_bucket"": ""late""}",120
34,NCT02494583,32880601,Keynote-062,Phase 3,late,"{""phase_bucket"": ""late""}",121
35,NCT02819518,33278935,MK-3475/Keynote-355,Phase 3,late,"{""phase_bucket"": ""late""}",122
36,NCT02853331,33284113,Keynote-426,Phase 3,late,"{""phase_bucket"": ""late""}",131
37,NCT02564263,33026938,KEYNOTE-181,Phase 3,late,"{""phase_bucket"": ""late""}",133
38,NCT02130466,33361337,KEYNOTE-022,Phase 2,early,"{""phase_bucket"": ""early""}",136
39,NCT02991482,32976938,PROMISE-meso,Phase 3,late,"{""phase_bucket"": ""late""}",139
40,NCT02563002,33264544,MK-3475/Keynote-177,Phase 3,late,"{""phase_bucket"": ""late""}",140
41,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,Phase 3,late,"{""phase_bucket"": ""late""}",141
42,NCT02811861,33616314,CLEAR,Phase 3,late,"{""phase_bucket"": ""late""}",145
