row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT00527735,,11.1,<12
2,NCT00527735,,11.1,<12
3,NCT01450761,CA184-156,,
4,NCT02763579,IMPower 133,13.9,12–23
5,NCT03059667,IFCT-1603,13.7,12–23
6,NCT03043872,CASPIAN,14.2,12–23
7,NCT03043872,CASPIAN,14.2,12–23
8,NCT02763579,IMpower133,,12–23
9,NCT03066778,KEYNOTE-604,,
10,NCT03043872,CASPIAN,25.1,≥24
11,NCT03043872,CASPIAN,25.1,≥24
12,NCT02481830,CheckMate 331,15.8,12–23
13,NCT02538666,CheckMate 451,,
14,NCT02538666,CheckMate 451,,
