row_index,NCT,PubMed ID,Trial name,source_value,is_follow_up,derived_expected_llm_response
1,NCT00324155,21639810,,Original publication,false,"{""is_follow_up"": false}"
2,NCT00094653,20525992,MDX010-20,Original publication,false,"{""is_follow_up"": false}"
3,NCT00094653,20525992,MDX010-20,Original publication,false,"{""is_follow_up"": false}"
4,NCT00257205,23295794,,Original publication,false,"{""is_follow_up"": false}"
5,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,Original publication,false,"{""is_follow_up"": false}"
6,NCT01704287,26115796,KEYNOTE-002,Original publication,false,"{""is_follow_up"": false}"
7,NCT01704287,26115796,KEYNOTE-002,Original publication,false,"{""is_follow_up"": false}"
8,NCT01704287,28961465,KEYNOTE-002,Follow-up,true,"{""is_follow_up"": true}"
9,NCT01704287,28961465,KEYNOTE-002,Follow-up,true,"{""is_follow_up"": true}"
10,NCT00636168,27717298,,Original publication,false,"{""is_follow_up"": false}"
11,NCT01721746,25795410,CheckMate 037,Original publication,false,"{""is_follow_up"": false}"
12,NCT01721746,28671856,CheckMate 037,Follow-up,true,"{""is_follow_up"": true}"
13,NCT02130466,31171878,KEYNOTE-022,Original publication,false,"{""is_follow_up"": false}"
14,NCT01721772,25399552,CheckMate 066,Original publication,false,"{""is_follow_up"": false}"
15,NCT01721772,30422243,CheckMate 066,Follow-up,true,"{""is_follow_up"": true}"
16,NCT01274338,31880964,E1609,Original publication,false,"{""is_follow_up"": false}"
17,NCT01274338,31880964,E1609,Original publication,false,"{""is_follow_up"": false}"
18,NCT02523313,32416781,IMMUNED,Original publication,false,"{""is_follow_up"": false}"
19,NCT02523313,32416781,IMMUNED,Original publication,false,"{""is_follow_up"": false}"
20,NCT02908672,32534646,IMspire150,Original publication,false,"{""is_follow_up"": false}"
21,NCT00094653,23942774,MDX010-20,Follow-up,true,"{""is_follow_up"": true}"
22,NCT00094653,23942774,MDX010-20,Follow-up,true,"{""is_follow_up"": true}"
23,NCT01721772,32997575,CheckMate 066,Follow-up,true,"{""is_follow_up"": true}"
24,NCT02130466,33361337,KEYNOTE-022,Original publication,false,"{""is_follow_up"": false}"
25,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,Follow-up,true,"{""is_follow_up"": true}"
26, NCT00636168,25840693,,Original publication,false,"{""is_follow_up"": false}"
