row_index,Name of ICI,Class of ICI
1,Ipilimumab,
2,Ipilimumab,
3,Nivolumab,
4,Nivolumab,
5,Pembrolizumab,
6,Pembrolizumab,
7,Atezolizumab,
8,Nivolumab,
9,Ipilimumab,
10,Durvalumab,
11,Durvalumab,
12,Atezolizumab,
13,Pembrolizumab,
14,Pembrolizumab,
15,Atezolizumab,
16,Atezolizumab,
17,Pembrolizumab,
18,Pembrolizumab,
19,Atezolizumab,
20,Atezolizumab,
21,"Nivolumab, Ipilimumab",
22,Nivolumab,
23,"Nivolumab, Ipilimumab",
24,Nivolumab,
25,Nivolumab,
26,Pembrolizumab,
27,Pembrolizumab,
28,Atezolizumab,
29,Nivolumab,
30,Durvalumab,
31,Durvalumab,
32,Tremelimumab,
33,"Durvalumab, Tremelimumab",
34,Durvalumab,
35,"Durvalumab, Tremelimumab",
36,Atezolizumab,
37,Atezolizumab,
38,Pembrolizumab,
39,Pembrolizumab,
40,Atezolizumab,
41,Atezolizumab,
42,Atezolizumab,
43,"Nivolumab, Ipilimumab",
44,Cemiplimab,
45,Nivolumab,
