row_index,NCT,Trial name,Is any other biomarker used for inclusion
1,NCT00527735,,False
2,NCT00527735,,False
3,NCT01673867,Checkmate 057,False
4,NCT01642004,Checkmate 017,False
5,NCT01285609,,False
6,NCT02125461,PACIFIC,False
7,NCT02125461,PACIFIC,False
8,NCT02395172,JAVELIN Lung 200,False
9,NCT02008227,OAK,False
10,NCT02008227,OAK,False
11,NCT02578680,Keynote-189,False
12,NCT02775435,Keynote-407,False
13,NCT02366143,IMPower150,True
14,NCT02366143,IMPower150,True
15,NCT02477826,Checkmate 227,False
16,NCT02477826,Checkmate 227,False
17,NCT02477826,Checkmate 227,False
18,NCT02477826,Checkmate 227,False
19,NCT02477826,Checkmate 227,False
20,NCT02367781,IMpower130,False
21,NCT02613507,Checkmate 078,False
22,NCT02454933,CAURAL,False
23,NCT02352948,ARCTIC,False
24,NCT02352948,ARCTIC,False
25,NCT02352948,ARCTIC,False
26,NCT02453282,MYSTIC,False
27,NCT02453282,MYSTIC,False
28,NCT02367794,IMpower131,False
29,NCT02367794,IMpower131,False
30,NCT02574598,PROLUNG,False
31,NCT01903993,POPLAR,False
32,NCT02008227,OAK,False
33,NCT03215706,CheckMate 9LA,False
34,NCT02852083,ModuLung,False
