row_index,NCT,PubMed ID,Trial name,source_value,is_combination,derived_expected_llm_response,table_row_id
1,NCT00324155,21639810,,Combination,true,"{""is_combination"": true}",58
2,NCT00094653,20525992,MDX010-20,Monotherapy,false,"{""is_combination"": false}",59
3,NCT00094653,20525992,MDX010-20,Combination,true,"{""is_combination"": true}",60
4,NCT00257205,23295794,,Monotherapy,false,"{""is_combination"": false}",61
5,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,Monotherapy,false,"{""is_combination"": false}",62
6,NCT01704287,26115796,KEYNOTE-002,Monotherapy,false,"{""is_combination"": false}",63
7,NCT01704287,26115796,KEYNOTE-002,Monotherapy,false,"{""is_combination"": false}",64
8,NCT01704287,28961465,KEYNOTE-002,Monotherapy,false,"{""is_combination"": false}",65
9,NCT01704287,28961465,KEYNOTE-002,Monotherapy,false,"{""is_combination"": false}",66
10,NCT00636168,27717298,,Monotherapy,false,"{""is_combination"": false}",67
11,NCT01721746,25795410,CheckMate 037,Monotherapy,false,"{""is_combination"": false}",68
12,NCT01721746,28671856,CheckMate 037,Monotherapy,false,"{""is_combination"": false}",69
13,NCT02130466,31171878,KEYNOTE-022,Combination,true,"{""is_combination"": true}",70
14,NCT01721772,25399552,CheckMate 066,Monotherapy,false,"{""is_combination"": false}",71
15,NCT01721772,30422243,CheckMate 066,Monotherapy,false,"{""is_combination"": false}",72
16,NCT01274338,31880964,E1609,Monotherapy,false,"{""is_combination"": false}",93
17,NCT01274338,31880964,E1609,Monotherapy,false,"{""is_combination"": false}",94
18,NCT02523313,32416781,IMMUNED,Monotherapy,false,"{""is_combination"": false}",95
19,NCT02523313,32416781,IMMUNED,Combination,true,"{""is_combination"": true}",96
20,NCT02908672,32534646,IMspire150,Combination,true,"{""is_combination"": true}",104
21,NCT00094653,23942774,MDX010-20,Monotherapy,false,"{""is_combination"": false}",117
22,NCT00094653,23942774,MDX010-20,Combination,true,"{""is_combination"": true}",118
23,NCT01721772,32997575,CheckMate 066,Monotherapy,false,"{""is_combination"": false}",135
24,NCT02130466,33361337,KEYNOTE-022,Combination,true,"{""is_combination"": true}",136
25,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,Monotherapy,false,"{""is_combination"": false}",141
26, NCT00636168,25840693,,Monotherapy,false,"{""is_combination"": false}",142
