row_index,NCT,PubMed ID,Trial name,source_value,class,derived_expected_llm_response,table_row_id
1,NCT01668784,26406148,CheckMate 025,Nivolumab,PD1,"{""class"": ""PD1""}",15
2,NCT01984242,29867230,IMmotion150,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}",16
3,NCT01984242,29867230,IMmotion150,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}",17
4,NCT02231749,29562145,CheckMate 214,"Nivolumab, Ipilimumab","PD1, CTLA-4","{""class"": ""PD1, CTLA-4""}",18
5,NCT02231749,31427204,CheckMate 214,"Nivolumab, Ipilimumab","PD1, CTLA-4","{""class"": ""PD1, CTLA-4""}",19
6,NCT02684006,30779531,JAVELIN Renal 101,Avelumab,PD-L1,"{""class"": ""PD-L1""}",20
7,NCT02853331,30779529,KEYNOTE-426,Pembrolizumab,PD1,"{""class"": ""PD1""}",21
8,NCT02420821,31079938,IMmotion151,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}",22
9,NCT02231749,32661118,CheckMate 214,"Nivolumab, Ipilimumab","PD1, CTLA-4","{""class"": ""PD1, CTLA-4""}",101
10,NCT01668784,32673417,CheckMate 025,Nivolumab,PD1,"{""class"": ""PD1""}",114
11,NCT02684006,32339648,JAVELIN Renal 101,Avelumab,PD-L1,"{""class"": ""PD-L1""}",115
12,NCT02853331,33284113,Keynote-426,Pembrolizumab,PD1,"{""class"": ""PD1""}",131
13,NCT02811861,33616314,CLEAR,Pembrolizumab,PD1,"{""class"": ""PD1""}",145
14,NCT03141177,33657295,CheckMate 9ER,Nivolumab,PD1,"{""class"": ""PD1""}",148
