row_index,NCT,PubMed ID,Trial name,source_value,is_follow_up,derived_expected_llm_response
1,NCT01668784,26406148,CheckMate 025,Original publication,false,"{""is_follow_up"": false}"
2,NCT01984242,29867230,IMmotion150,Original publication,false,"{""is_follow_up"": false}"
3,NCT01984242,29867230,IMmotion150,Original publication,false,"{""is_follow_up"": false}"
4,NCT02231749,29562145,CheckMate 214,Original publication,false,"{""is_follow_up"": false}"
5,NCT02231749,31427204,CheckMate 214,Follow-up,true,"{""is_follow_up"": true}"
6,NCT02684006,30779531,JAVELIN Renal 101,Original publication,false,"{""is_follow_up"": false}"
7,NCT02853331,30779529,KEYNOTE-426,Original publication,false,"{""is_follow_up"": false}"
8,NCT02420821,31079938,IMmotion151,Original publication,false,"{""is_follow_up"": false}"
9,NCT02231749,32661118,CheckMate 214,Follow-up,true,"{""is_follow_up"": true}"
10,NCT01668784,32673417,CheckMate 025,Follow-up,true,"{""is_follow_up"": true}"
11,NCT02684006,32339648,JAVELIN Renal 101,Follow-up,true,"{""is_follow_up"": true}"
12,NCT02853331,33284113,Keynote-426,Follow-up,true,"{""is_follow_up"": true}"
13,NCT02811861,33616314,CLEAR,Original publication,false,"{""is_follow_up"": false}"
14,NCT03141177,33657295,CheckMate 9ER,Original publication,false,"{""is_follow_up"": false}"
