row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT00527735,,11.1,
2,NCT00527735,,11.1,
3,NCT01450761,CA184-156,,10.2
4,NCT02763579,IMPower 133,13.9,
5,NCT03059667,IFCT-1603,13.7,
6,NCT03043872,CASPIAN,14.2,
7,NCT03043872,CASPIAN,14.2,
8,NCT02763579,IMpower133,,
9,NCT03066778,KEYNOTE-604,,
10,NCT03043872,CASPIAN,25.1,
11,NCT03043872,CASPIAN,25.1,
12,NCT02481830,CheckMate 331,15.8,
13,NCT02538666,CheckMate 451,,9.1
14,NCT02538666,CheckMate 451,,9.1
