row_index,NCT,PubMed ID,Trial name,source_value,era,derived_expected_llm_response
1,NCT02302807,29268948,IMvigor211,2018,2015–2018,"{""era"": ""2015–2018""}"
2,NCT02425891,30345906,IMpassion130,2018,2015–2018,"{""era"": ""2015–2018""}"
3,NCT02788279,31003911,IMblaze130,2019,≥2019,"{""era"": ""≥2019""}"
4,NCT02788279,31003911,IMblaze130,2019,≥2019,"{""era"": ""≥2019""}"
5,NCT01984242,29867230,IMmotion150,2018,2015–2018,"{""era"": ""2015–2018""}"
6,NCT01984242,29867230,IMmotion150,2018,2015–2018,"{""era"": ""2015–2018""}"
7,NCT02420821,31079938,IMmotion151,2019,≥2019,"{""era"": ""≥2019""}"
8,NCT01903993,26970723,POPLAR,2016,2015–2018,"{""era"": ""2015–2018""}"
9,NCT02395172,30262187,JAVELIN Lung 200,2018,2015–2018,"{""era"": ""2015–2018""}"
10,NCT02008227,27979383,OAK,2017,2015–2018,"{""era"": ""2015–2018""}"
11,NCT02008227,29777823,OAK,2018,2015–2018,"{""era"": ""2015–2018""}"
12,NCT02763579,30280641,IMPower 133,2018,2015–2018,"{""era"": ""2015–2018""}"
13,NCT02366143,29863955,IMPower150,2018,2015–2018,"{""era"": ""2015–2018""}"
14,NCT02366143,29863955,IMPower150,2018,2015–2018,"{""era"": ""2015–2018""}"
15,NCT03059667,30664989,IFCT-1603,2019,≥2019,"{""era"": ""≥2019""}"
16,NCT02367781,31122901,IMpower130,2019,≥2019,"{""era"": ""≥2019""}"
17,NCT02425891,31786121,IMpassion130,2019,≥2019,"{""era"": ""≥2019""}"
18,NCT02763579,31959349,IMpower133,2020,≥2019,"{""era"": ""≥2019""}"
19,NCT02367794,32302702,IMpower131,2020,≥2019,"{""era"": ""≥2019""}"
20,NCT02367794,32302702,IMpower131,2020,≥2019,"{""era"": ""≥2019""}"
21,NCT02908672,32534646,IMspire150,2020,≥2019,"{""era"": ""≥2019""}"
22,NCT02807636,32416780,IMvigor130,2020,≥2019,"{""era"": ""≥2019""}"
23,NCT02807636,32416780,IMvigor130,2020,≥2019,"{""era"": ""≥2019""}"
24,NCT03434379,32402160,IMbrave150,2020,≥2019,"{""era"": ""≥2019""}"
25,NCT03197935,32966830,IMpassion031,2020,≥2019,"{""era"": ""≥2019""}"
26,NCT02409342,32997907,IMpower110,2020,≥2019,"{""era"": ""≥2019""}"
27,NCT02657434,33333328,Impower 132,2020,≥2019,"{""era"": ""≥2019""}"
28,NCT01903993,33166718,POPLAR,2020,≥2019,"{""era"": ""≥2019""}"
29,NCT02008227,33166718,OAK,2020,≥2019,"{""era"": ""≥2019""}"
30,NCT02450331, 33721560,Imvigor010,2021,≥2019,"{""era"": ""≥2019""}"
