natural_language_query,sql_query,column_used,expected_llm_response,expected_llm_response_key_column_match,expected_llm_response_value_column_candidates,ground_truth_column,ground_truth_selection_details,final_column,Table or Retrieval
"In Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Small Cell Lung';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI)
"In Esophageal/GEJ trials, convert 'Original/Follow up' status into a boolean is_follow_up.","SELECT ""Originial publication or Follow-up""
FROM clinical_trials
WHERE ""Cancer type"" = 'Esophageal/GEJ';",Originial publication or Follow-up,"{""is_follow_up"": false}",is_follow_up -> Originial publication or Follow-up [MATCH 1.00],"is_follow_up=false -> no close value match (best: Secondary endpoint, 0.67)",no_match,"{""question"": ""In Esophageal/GEJ trials, convert 'Original/Follow up' status into a boolean is_follow_up."", ""entries"": [{""key"": ""is_follow_up"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Prostate trials, convert 'Type of therapy' into is_combination = true/false.","SELECT ""Type of therapy""
FROM clinical_trials
WHERE ""Cancer type"" = 'Prostate';",Type of therapy,"{""is_combination"": true}",is_combination -> Monotherapy/combination [MATCH 1.00],"is_combination=true -> no close value match (best: Trial name, 0.69)",no_match,"{""question"": ""In Prostate trials, convert 'Type of therapy' into is_combination = true/false."", ""entries"": [{""key"": ""is_combination"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Avelumab trials in Multiple Myeloma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).","SELECT ""Trial name""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Avelumab' AND ""Cancer type"" = 'Multiple Myeloma';",Trial name,"{""trial_acronym"": ""KEYNOTE-042""}","trial_acronym -> no close match (best: Trial name, 0.70)","trial_acronym=""KEYNOTE-042"" -> Trial name [1.00]",no_match,"{""question"": ""For Avelumab trials in Multiple Myeloma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx)."", ""entries"": [{""key"": ""trial_acronym"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In NSCLC studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'NSCLC' AND ""Type of combination"" = 'ICI+TKI';",Treatment regimen,"{""tki_agents"": [""axitinib""]}","tki_agents -> no close match (best: Trial name, 0.53)","tki_agents=[""axitinib""] -> Treatment regimen [1.00], Control regimen [0.71]",no_match,"{""question"": ""In NSCLC studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen."", ""entries"": [{""key"": ""tki_agents"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Atezolizumab trials, bucket the publication year into: ≤2014, 2015–2018, ≥2019.","SELECT ""Year""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Atezolizumab';",Year,"{""era"": ""≥2019""}","era -> no close match (best: Type of therapy, 0.60)","era=""≥2019"" -> Year [1.00], Follow-up duration for primary endpoint(s) in months | Overall [0.85]",no_match,"{""question"": ""For Atezolizumab trials, bucket the publication year into: ≤2014, 2015–2018, ≥2019."", ""entries"": [{""key"": ""era"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Nivolumab, Ipilimumab trials in Hodgkin Lymphoma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).","SELECT ""Trial name""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Nivolumab, Ipilimumab' AND ""Cancer type"" = 'Hodgkin Lymphoma';",Trial name,"{""trial_acronym"": ""KEYNOTE-042""}","trial_acronym -> no close match (best: Trial name, 0.70)","trial_acronym=""KEYNOTE-042"" -> Trial name [1.00]",no_match,"{""question"": ""For Nivolumab, Ipilimumab trials in Hodgkin Lymphoma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx)."", ""entries"": [{""key"": ""trial_acronym"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Durvalumab, Tremelimumab trials in Head and Neck, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).","SELECT ""Trial name""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Durvalumab, Tremelimumab' AND ""Cancer type"" = 'Head and Neck';",Trial name,"{""trial_acronym"": ""KEYNOTE-042""}","trial_acronym -> no close match (best: Trial name, 0.70)","trial_acronym=""KEYNOTE-042"" -> Trial name [1.00]",no_match,"{""question"": ""For Durvalumab, Tremelimumab trials in Head and Neck, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx)."", ""entries"": [{""key"": ""trial_acronym"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Head and Neck trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Head and Neck';",Secondary endpoint,"{""irAE_assessed"": true}","irAE_assessed -> no close match (best: Trial phase, 0.50)","irAE_assessed=true -> no close value match (best: Trial name, 0.69)",no_match,"{""question"": ""In Head and Neck trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed."", ""entries"": [{""key"": ""irAE_assessed"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Atezolizumab trials in Pancreatic, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).","SELECT ""Trial name""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Atezolizumab' AND ""Cancer type"" = 'Pancreatic';",Trial name,"{""trial_acronym"": ""KEYNOTE-042""}","trial_acronym -> no close match (best: Trial name, 0.70)","trial_acronym=""KEYNOTE-042"" -> Trial name [1.00]",no_match,"{""question"": ""For Atezolizumab trials in Pancreatic, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx)."", ""entries"": [{""key"": ""trial_acronym"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
