row_index,NCT,PubMed ID,Trial name,source_value,control_drugs,derived_expected_llm_response
1,NCT00527735,22547592,,Placebo+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""control_drugs"": [""paclitaxel"", ""carboplatin""]}"
2,NCT00527735,22547592,,Placebo+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""control_drugs"": [""paclitaxel"", ""carboplatin""]}"
3,NCT01673867,26412456,Checkmate 057,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
4,NCT01642004,26028407,Checkmate 017,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
5,NCT01905657,26712084,Keynote-010,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
6,NCT01905657,26712084,Keynote-010,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
7,NCT01903993,26970723,POPLAR,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
8,NCT02041533,28636851,Checkmate 026,Platinum-based chemotherapy,,"{""control_drugs"": null}"
9,NCT01285609,28854067,,Placebo+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""control_drugs"": [""paclitaxel"", ""carboplatin""]}"
10,NCT02395172,30262187,JAVELIN Lung 200,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
11,NCT02039674,27745820,Keynote-021,Pemetrexed+Carboplatin,"[""pemetrexed"", ""carboplatin""]","{""control_drugs"": [""pemetrexed"", ""carboplatin""]}"
12,NCT02039674,30138764,Keynote-021,Pemetrexed+Carboplatin,"[""pemetrexed"", ""carboplatin""]","{""control_drugs"": [""pemetrexed"", ""carboplatin""]}"
13,NCT02008227,27979383,OAK,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
14,NCT02008227,29777823,OAK,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
15,NCT02578680,29658856,Keynote-189,Placebo+Pemetrexed+Platinum agent,"[""pemetrexed""]","{""control_drugs"": [""pemetrexed""]}"
16,NCT02775435,30280635,Keynote-407,Placebo+Carboplatin+paclitaxel/nab-paclitaxel,"[""carboplatin"", ""paclitaxel"", ""nab-paclitaxel""]","{""control_drugs"": [""carboplatin"", ""paclitaxel"", ""nab-paclitaxel""]}"
17,NCT02477826,29658845,Checkmate 227,Chemotherapy,,"{""control_drugs"": null}"
18,NCT02477826,29658845,Checkmate 227,Chemotherapy,,"{""control_drugs"": null}"
19,NCT02477826,31562796,Checkmate 227,Chemotherapy,,"{""control_drugs"": null}"
20,NCT02477826,31562796,Checkmate 227,Chemotherapy,,"{""control_drugs"": null}"
21,NCT02477826,31562796,Checkmate 227,Chemotherapy,,"{""control_drugs"": null}"
22,NCT02220894,30955977,Keynote-042,Carboplatin+Pemetrexed+Paclitaxel,"[""carboplatin"", ""pemetrexed"", ""paclitaxel""]","{""control_drugs"": [""carboplatin"", ""pemetrexed"", ""paclitaxel""]}"
23,NCT02142738,30620668,Keynote-024,Platinum-based chemotherapy,,"{""control_drugs"": null}"
24,NCT02367781,31122901,IMpower130,Carboplatin+Nab-paclitaxel,"[""carboplatin"", ""nab-paclitaxel""]","{""control_drugs"": [""carboplatin"", ""nab-paclitaxel""]}"
25,NCT02613507,30659987,Checkmate 078,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
26,NCT02453282,32271377,MYSTIC,Investigator's choice chemotherapy,,"{""control_drugs"": null}"
27,NCT02453282,32271377,MYSTIC,Investigator's choice chemotherapy,,"{""control_drugs"": null}"
28,NCT02367794,32302702,IMpower131,Carboplatin+Nab-paclitaxel,"[""carboplatin"", ""nab-paclitaxel""]","{""control_drugs"": [""carboplatin"", ""nab-paclitaxel""]}"
29,NCT02367794,32302702,IMpower131,Carboplatin+Nab-paclitaxel,"[""carboplatin"", ""nab-paclitaxel""]","{""control_drugs"": [""carboplatin"", ""nab-paclitaxel""]}"
30,NCT02574598,32271354,PROLUNG,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
31,NCT02142738,27718847,Keynote-024,Platinum-based chemotherapy,,"{""control_drugs"": null}"
32,NCT02409342,32997907,IMpower110,Cisplatin/carboplatin+gemcitabine,"[""cisplatin"", ""carboplatin"", ""gemcitabine""]","{""control_drugs"": [""cisplatin"", ""carboplatin"", ""gemcitabine""]}"
33,NCT01903993,33166718,POPLAR,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
34,NCT02008227,33166718,OAK,Docetaxel,"[""docetaxel""]","{""control_drugs"": [""docetaxel""]}"
35,NCT03215706,33476593,CheckMate 9LA,Chemotherapy,,"{""control_drugs"": null}"
36,NCT03088540,33581821,EMPOWER-Lung 1,Chemotherapy,,"{""control_drugs"": null}"
