row_index,NCT,PubMed ID,Trial name,source_value,class,derived_expected_llm_response
1,NCT00527735,22547592,,Ipilimumab,CTLA-4,"{""class"": ""CTLA-4""}"
2,NCT00527735,22547592,,Ipilimumab,CTLA-4,"{""class"": ""CTLA-4""}"
3,NCT01673867,26412456,Checkmate 057,Nivolumab,PD1,"{""class"": ""PD1""}"
4,NCT01642004,26028407,Checkmate 017,Nivolumab,PD1,"{""class"": ""PD1""}"
5,NCT01905657,26712084,Keynote-010,Pembrolizumab,PD1,"{""class"": ""PD1""}"
6,NCT01905657,26712084,Keynote-010,Pembrolizumab,PD1,"{""class"": ""PD1""}"
7,NCT01903993,26970723,POPLAR,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
8,NCT02041533,28636851,Checkmate 026,Nivolumab,PD1,"{""class"": ""PD1""}"
9,NCT01285609,28854067,,Ipilimumab,CTLA-4,"{""class"": ""CTLA-4""}"
10,NCT02125461,28885881,PACIFIC,Durvalumab,PD-L1,"{""class"": ""PD-L1""}"
11,NCT02125461,30280658,PACIFIC,Durvalumab,PD-L1,"{""class"": ""PD-L1""}"
12,NCT02395172,30262187,JAVELIN Lung 200,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
13,NCT02039674,27745820,Keynote-021,Pembrolizumab,PD1,"{""class"": ""PD1""}"
14,NCT02039674,30138764,Keynote-021,Pembrolizumab,PD1,"{""class"": ""PD1""}"
15,NCT02008227,27979383,OAK,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
16,NCT02008227,29777823,OAK,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
17,NCT02578680,29658856,Keynote-189,Pembrolizumab,PD1,"{""class"": ""PD1""}"
18,NCT02775435,30280635,Keynote-407,Pembrolizumab,PD1,"{""class"": ""PD1""}"
19,NCT02366143,29863955,IMPower150,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
20,NCT02366143,29863955,IMPower150,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
21,NCT02477826,29658845,Checkmate 227,"Nivolumab, Ipilimumab","PD1, CTLA-4","{""class"": ""PD1, CTLA-4""}"
22,NCT02477826,29658845,Checkmate 227,Nivolumab,PD1,"{""class"": ""PD1""}"
23,NCT02477826,31562796,Checkmate 227,"Nivolumab, Ipilimumab","PD1, CTLA-4","{""class"": ""PD1, CTLA-4""}"
24,NCT02477826,31562796,Checkmate 227,Nivolumab,PD1,"{""class"": ""PD1""}"
25,NCT02477826,31562796,Checkmate 227,Nivolumab,PD1,"{""class"": ""PD1""}"
26,NCT02220894,30955977,Keynote-042,Pembrolizumab,PD1,"{""class"": ""PD1""}"
27,NCT02142738,30620668,Keynote-024,Pembrolizumab,PD1,"{""class"": ""PD1""}"
28,NCT02367781,31122901,IMpower130,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
29,NCT02613507,30659987,Checkmate 078,Nivolumab,PD1,"{""class"": ""PD1""}"
30,NCT02454933,30763730,CAURAL,Durvalumab,PD-L1,"{""class"": ""PD-L1""}"
31,NCT02352948,32201234,ARCTIC,Durvalumab,PD-L1,"{""class"": ""PD-L1""}"
32,NCT02352948,32201234,ARCTIC,Tremelimumab,CTLA-4,"{""class"": ""CTLA-4""}"
33,NCT02352948,32201234,ARCTIC,"Durvalumab, Tremelimumab","PD-L1, CTLA-4","{""class"": ""PD-L1, CTLA-4""}"
34,NCT02453282,32271377,MYSTIC,Durvalumab,PD-L1,"{""class"": ""PD-L1""}"
35,NCT02453282,32271377,MYSTIC,"Durvalumab, Tremelimumab","PD-L1, CTLA-4","{""class"": ""PD-L1, CTLA-4""}"
36,NCT02367794,32302702,IMpower131,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
37,NCT02367794,32302702,IMpower131,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
38,NCT02574598,32271354,PROLUNG,Pembrolizumab,PD1,"{""class"": ""PD1""}"
39,NCT02142738,27718847,Keynote-024,Pembrolizumab,PD1,"{""class"": ""PD1""}"
40,NCT02409342,32997907,IMpower110,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
41,NCT01903993,33166718,POPLAR,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
42,NCT02008227,33166718,OAK,Atezolizumab,PD-L1,"{""class"": ""PD-L1""}"
43,NCT03215706,33476593,CheckMate 9LA,"Nivolumab, Ipilimumab","PD1, CTLA-4","{""class"": ""PD1, CTLA-4""}"
44,NCT03088540,33581821,EMPOWER-Lung 1,Cemiplimab,PD1,"{""class"": ""PD1""}"
45,NCT02852083, 33796020,ModuLung,Nivolumab,PD1,"{""class"": ""PD1""}"
