row_index,Number of arms category,NCT,Trial name,Cancer type,Secondary endpoint
1,2-arm,NCT00324155,,Melanoma,2-arm
2,≥3-arm,NCT00094653,MDX010-20,Melanoma,
3,≥3-arm,NCT00094653,MDX010-20,Melanoma,
4,2-arm,NCT00257205,,Melanoma,
5,2-arm,NCT02362594,EORTC 1325-MG/KEYNOTE-054,Melanoma,
6,≥3-arm,NCT01704287,KEYNOTE-002,Melanoma,
7,≥3-arm,NCT01704287,KEYNOTE-002,Melanoma,
8,≥3-arm,NCT01704287,KEYNOTE-002,Melanoma,
9,≥3-arm,NCT01704287,KEYNOTE-002,Melanoma,
10,2-arm,NCT00636168,,Melanoma,
11,2-arm,NCT01721746,CheckMate 037,Melanoma,
12,2-arm,NCT01721746,CheckMate 037,Melanoma,
13,2-arm,NCT02130466,KEYNOTE-022,Melanoma,
14,2-arm,NCT01721772,CheckMate 066,Melanoma,
15,2-arm,NCT01721772,CheckMate 066,Melanoma,
16,≥3-arm,NCT01274338,E1609,Melanoma,
17,≥3-arm,NCT01274338,E1609,Melanoma,
18,≥3-arm,NCT02523313,IMMUNED,Melanoma,
19,≥3-arm,NCT02523313,IMMUNED,Melanoma,
20,2-arm,NCT02908672,IMspire150,Melanoma,
21,≥3-arm,NCT00094653,MDX010-20,Melanoma,
22,≥3-arm,NCT00094653,MDX010-20,Melanoma,
23,2-arm,NCT01721772,CheckMate 066,Melanoma,
24,2-arm,NCT02130466,KEYNOTE-022,Melanoma,
25,2-arm,NCT02362594,EORTC 1325-MG/KEYNOTE-054,Melanoma,
26,2-arm,NCT00636168,,Melanoma,
