row_index,NCT,PubMed ID,Trial name,source_value,arm_category,derived_expected_llm_response
1,NCT01668784,26406148,CheckMate 025,2,2-arm,"{""arm_category"": ""2-arm""}"
2,NCT01984242,29867230,IMmotion150,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
3,NCT01984242,29867230,IMmotion150,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
4,NCT02231749,29562145,CheckMate 214,2,2-arm,"{""arm_category"": ""2-arm""}"
5,NCT02231749,31427204,CheckMate 214,2,2-arm,"{""arm_category"": ""2-arm""}"
6,NCT02684006,30779531,JAVELIN Renal 101,2,2-arm,"{""arm_category"": ""2-arm""}"
7,NCT02853331,30779529,KEYNOTE-426,2,2-arm,"{""arm_category"": ""2-arm""}"
8,NCT02420821,31079938,IMmotion151,2,2-arm,"{""arm_category"": ""2-arm""}"
9,NCT02231749,32661118,CheckMate 214,2,2-arm,"{""arm_category"": ""2-arm""}"
10,NCT01668784,32673417,CheckMate 025,2,2-arm,"{""arm_category"": ""2-arm""}"
11,NCT02684006,32339648,JAVELIN Renal 101,2,2-arm,"{""arm_category"": ""2-arm""}"
12,NCT02853331,33284113,Keynote-426,2,2-arm,"{""arm_category"": ""2-arm""}"
13,NCT02811861,33616314,CLEAR,3,≥3-arm,"{""arm_category"": ""≥3-arm""}"
14,NCT03141177,33657295,CheckMate 9ER,2,2-arm,"{""arm_category"": ""2-arm""}"
