row_index,NCT,PubMed ID,Trial name,source_value,is_combination,derived_expected_llm_response
1,NCT01668784,26406148,CheckMate 025,Monotherapy,false,"{""is_combination"": false}"
2,NCT01984242,29867230,IMmotion150,Monotherapy,false,"{""is_combination"": false}"
3,NCT01984242,29867230,IMmotion150,Combination,true,"{""is_combination"": true}"
4,NCT02231749,29562145,CheckMate 214,Combination,true,"{""is_combination"": true}"
5,NCT02231749,31427204,CheckMate 214,Combination,true,"{""is_combination"": true}"
6,NCT02684006,30779531,JAVELIN Renal 101,Combination,true,"{""is_combination"": true}"
7,NCT02853331,30779529,KEYNOTE-426,Combination,true,"{""is_combination"": true}"
8,NCT02420821,31079938,IMmotion151,Combination,true,"{""is_combination"": true}"
9,NCT02231749,32661118,CheckMate 214,Combination,true,"{""is_combination"": true}"
10,NCT01668784,32673417,CheckMate 025,Monotherapy,false,"{""is_combination"": false}"
11,NCT02684006,32339648,JAVELIN Renal 101,Combination,true,"{""is_combination"": true}"
12,NCT02853331,33284113,Keynote-426,Combination,true,"{""is_combination"": true}"
13,NCT02811861,33616314,CLEAR,Combination,true,"{""is_combination"": true}"
14,NCT03141177,33657295,CheckMate 9ER,Combination,true,"{""is_combination"": true}"
