NCT,PubMed ID,Trial name,source_value
NCT02302807,29268948,IMvigor211,Original publication
NCT02256436,28212060,Keynote-045,Original publication
NCT02256436,31050707,Keynote-045,Follow-up
NCT02425891,30345906,IMpassion130,Original publication
NCT02685059,31095287,GeparNuevo,Original publication
NCT02788279,31003911,IMblaze130,Original publication
NCT02788279,31003911,IMblaze130,Original publication
NCT01585987,28655793,,Original publication
NCT02267343,28993052,ATTRACTION-2,Original publication
NCT02625623,30052729,JAVELIN Gastric 300,Original publication
NCT02370498,29880231,Keynote-061,Original publication
NCT02252042,30509740,KEYNOTE-040,Original publication
NCT02105636,27718784,CheckMate 141,Original publication
NCT02105636,29884413,CheckMate 141,Follow-up
NCT01668784,26406148,CheckMate 025,Original publication
NCT01984242,29867230,IMmotion150,Original publication
NCT01984242,29867230,IMmotion150,Original publication
NCT02231749,29562145,CheckMate 214,Original publication
NCT02231749,31427204,CheckMate 214,Follow-up
NCT02684006,30779531,JAVELIN Renal 101,Original publication
NCT02853331,30779529,KEYNOTE-426,Original publication
NCT02420821,31079938,IMmotion151,Original publication
NCT00527735,22547592,,Original publication
NCT00527735,22547592,,Original publication
NCT00527735,22858559,,Original publication
NCT00527735,22858559,,Original publication
NCT01673867,26412456,Checkmate 057,Original publication
NCT01642004,26028407,Checkmate 017,Original publication
NCT01905657,26712084,Keynote-010,Original publication
NCT01905657,26712084,Keynote-010,Original publication
NCT01903993,26970723,POPLAR,Original publication
NCT01450761,27458307,CA184-156,Original publication
NCT02041533,28636851,Checkmate 026,Original publication
NCT01285609,28854067,,Original publication
NCT02125461,28885881,PACIFIC,Original publication
NCT02125461,30280658,PACIFIC,Follow-up
NCT02395172,30262187,JAVELIN Lung 200,Original publication
NCT02039674,27745820,Keynote-021,Original publication
NCT02039674,30138764,Keynote-021,Follow-up
NCT02008227,27979383,OAK,Original publication
NCT02008227,29777823,OAK,Follow-up
NCT02578680,29658856,Keynote-189,Original publication
NCT02763579,30280641,IMPower 133,Original publication
NCT02775435,30280635,Keynote-407,Original publication
NCT02366143,29863955,IMPower150,Original publication
NCT02366143,29863955,IMPower150,Original publication
NCT02477826,29658845,Checkmate 227,Original publication
NCT02477826,29658845,Checkmate 227,Original publication
NCT02477826,31562796,Checkmate 227,Follow-up
NCT02477826,31562796,Checkmate 227,Follow-up
NCT02477826,31562796,Checkmate 227,Follow-up
NCT02220894,30955977,Keynote-042,Original publication
NCT03059667,30664989,IFCT-1603,Original publication
NCT02142738,30620668,Keynote-024,Follow-up
NCT02367781,31122901,IMpower130,Original publication
NCT02613507,30659987,Checkmate 078,Original publication
NCT02454933,30763730,CAURAL,Original publication
NCT00324155,21639810,,Original publication
NCT00094653,20525992,MDX010-20,Original publication
NCT00094653,20525992,MDX010-20,Original publication
NCT00257205,23295794,,Original publication
NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,Original publication
NCT01704287,26115796,KEYNOTE-002,Original publication
NCT01704287,26115796,KEYNOTE-002,Original publication
NCT01704287,28961465,KEYNOTE-002,Follow-up
NCT01704287,28961465,KEYNOTE-002,Follow-up
NCT00636168,27717298,,Original publication
NCT01721746,25795410,CheckMate 037,Original publication
NCT01721746,28671856,CheckMate 037,Follow-up
NCT02130466,31171878,KEYNOTE-022,Original publication
NCT01721772,25399552,CheckMate 066,Original publication
NCT01721772,30422243,CheckMate 066,Follow-up
NCT01843374,28729154,DETERMINE,Original publication
NCT02576977,31327687,KEYNOTE-183,Original publication
NCT02579863,31327689,KEYNOTE-185,Original publication
NCT00861614,24831977,CA184-043,Original publication
NCT01057810,28034081,CA184-095,Original publication
NCT02267343,31863227,ATTRACTION-2,Follow-up
NCT02702401,31790344,KEYNOTE-240,Original publication
NCT02569242,31582355,ATTRACTION-3,Original publication
