row_index,NCT,PubMed ID,Trial name,source_value,followup_bucket,derived_expected_llm_response
1,NCT00527735,22547592,,,,"{""followup_bucket"": null}"
2,NCT00527735,22547592,,,,"{""followup_bucket"": null}"
3,NCT01673867,26412456,Checkmate 057,,,"{""followup_bucket"": null}"
4,NCT01642004,26028407,Checkmate 017,,,"{""followup_bucket"": null}"
5,NCT01905657,26712084,Keynote-010,,,"{""followup_bucket"": null}"
6,NCT01905657,26712084,Keynote-010,,,"{""followup_bucket"": null}"
7,NCT01903993,26970723,POPLAR,,,"{""followup_bucket"": null}"
8,NCT02041533,28636851,Checkmate 026,13.5,12–23,"{""followup_bucket"": ""12–23""}"
9,NCT01285609,28854067,,,,"{""followup_bucket"": null}"
10,NCT02125461,28885881,PACIFIC,14.5,12–23,"{""followup_bucket"": ""12–23""}"
11,NCT02125461,30280658,PACIFIC,25.2,≥24,"{""followup_bucket"": ""≥24""}"
12,NCT02395172,30262187,JAVELIN Lung 200,18.3,12–23,"{""followup_bucket"": ""12–23""}"
13,NCT02039674,27745820,Keynote-021,10.6,<12,"{""followup_bucket"": ""<12""}"
14,NCT02039674,30138764,Keynote-021,23.9,12–23,"{""followup_bucket"": ""12–23""}"
15,NCT02008227,27979383,OAK,21,12–23,"{""followup_bucket"": ""12–23""}"
16,NCT02008227,29777823,OAK,26,≥24,"{""followup_bucket"": ""≥24""}"
17,NCT02578680,29658856,Keynote-189,10.5,<12,"{""followup_bucket"": ""<12""}"
18,NCT02775435,30280635,Keynote-407,7.8,<12,"{""followup_bucket"": ""<12""}"
19,NCT02366143,29863955,IMPower150,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",,"{""followup_bucket"": null}"
20,NCT02366143,29863955,IMPower150,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",,"{""followup_bucket"": null}"
21,NCT02477826,29658845,Checkmate 227,11.2,<12,"{""followup_bucket"": ""<12""}"
22,NCT02477826,29658845,Checkmate 227,11.2,<12,"{""followup_bucket"": ""<12""}"
23,NCT02477826,31562796,Checkmate 227,29.3,≥24,"{""followup_bucket"": ""≥24""}"
24,NCT02477826,31562796,Checkmate 227,29.3,≥24,"{""followup_bucket"": ""≥24""}"
25,NCT02477826,31562796,Checkmate 227,29.3,≥24,"{""followup_bucket"": ""≥24""}"
26,NCT02220894,30955977,Keynote-042,12.8,12–23,"{""followup_bucket"": ""12–23""}"
27,NCT02142738,30620668,Keynote-024,25.2,≥24,"{""followup_bucket"": ""≥24""}"
28,NCT02367781,31122901,IMpower130,,,"{""followup_bucket"": null}"
29,NCT02613507,30659987,Checkmate 078,8.8,<12,"{""followup_bucket"": ""<12""}"
30,NCT02454933,30763730,CAURAL,,,"{""followup_bucket"": null}"
31,NCT02352948,32201234,ARCTIC,9.1,<12,"{""followup_bucket"": ""<12""}"
32,NCT02352948,32201234,ARCTIC,9.1,<12,"{""followup_bucket"": ""<12""}"
33,NCT02352948,32201234,ARCTIC,9.1,<12,"{""followup_bucket"": ""<12""}"
34,NCT02453282,32271377,MYSTIC,"30.2, 10.6",,"{""followup_bucket"": null}"
35,NCT02453282,32271377,MYSTIC,"30.2, 10.6",,"{""followup_bucket"": null}"
36,NCT02367794,32302702,IMpower131,,,"{""followup_bucket"": null}"
37,NCT02367794,32302702,IMpower131,,,"{""followup_bucket"": null}"
38,NCT02574598,32271354,PROLUNG,,,"{""followup_bucket"": null}"
39,NCT02142738,27718847,Keynote-024,,,"{""followup_bucket"": null}"
40,NCT02409342,32997907,IMpower110,13.4,12–23,"{""followup_bucket"": ""12–23""}"
41,NCT01903993,33166718,POPLAR,48.6,≥24,"{""followup_bucket"": ""≥24""}"
42,NCT02008227,33166718,OAK,47.7,≥24,"{""followup_bucket"": ""≥24""}"
43,NCT03215706,33476593,CheckMate 9LA,13.2,12–23,"{""followup_bucket"": ""12–23""}"
44,NCT03088540,33581821,EMPOWER-Lung 1,,,"{""followup_bucket"": null}"
45,NCT02852083, 33796020,ModuLung,8.3,<12,"{""followup_bucket"": ""<12""}"
