row_index,NCT,PubMed ID,Trial name,source_value,followup_type,derived_expected_llm_response
1,NCT00527735,22858559,,Minimum,,"{""followup_type"": null}"
2,NCT00527735,22858559,,Minimum,,"{""followup_type"": null}"
3,NCT01450761,27458307,CA184-156,Median,,"{""followup_type"": null}"
4,NCT02763579,30280641,IMPower 133,Median,,"{""followup_type"": null}"
5,NCT03059667,30664989,IFCT-1603,Median,,"{""followup_type"": null}"
6,NCT03043872,31590988,CASPIAN,Median,,"{""followup_type"": null}"
7,NCT03043872,31590988,CASPIAN,Median,,"{""followup_type"": null}"
8,NCT02763579,31959349,IMpower133,,,"{""followup_type"": null}"
9,NCT03066778,32468956,KEYNOTE-604,,,"{""followup_type"": null}"
10,NCT03043872,33285097,CASPIAN,Median,,"{""followup_type"": null}"
11,NCT03043872,33285097,CASPIAN,Median,,"{""followup_type"": null}"
12,NCT02481830,33539946,CheckMate 331,Minimum,,"{""followup_type"": null}"
13,NCT02538666,33683919,CheckMate 451,Median,,"{""followup_type"": null}"
14,NCT02538666,33683919,CheckMate 451,Median,,"{""followup_type"": null}"
