NCT,PubMed ID,Trial name,source_value
NCT02302807,29268948,IMvigor211,"investigator-assessed RECIST v1.1 ORR, PFS, DoR"
NCT02256436,28212060,Keynote-045,"Safety, tolerability, ORR, DoR"
NCT02256436,31050707,Keynote-045,"Safety, tolerability, ORR, DoR"
NCT02425891,30345906,IMpassion130,"investigator-assessed RECIST v1.1 ORR,  DoR"
NCT02685059,31095287,GeparNuevo,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]"
NCT02788279,31003911,IMblaze130,"investigator-assessed RECIST v1.1 ORR, PFS, DoR"
NCT02788279,31003911,IMblaze130,"investigator-assessed RECIST v1.1 ORR, PFS, DoR"
NCT01585987,28655793,,"PFS by mWHO criteria, OS, immune-related best overall response rate (irBORR)"
NCT02267343,28993052,ATTRACTION-2,"PFS, ORR, disease control rate, DoR, time to response, best overall response, the maximum percentage change from baseline in the sum of diameters of target lesions."
NCT02625623,30052729,JAVELIN Gastric 300,"PFS, ORR per independent review committee assessment, safety, tolerability"
NCT02370498,29880231,Keynote-061,"ORR, DoR, in patients with PD-L1 CPS of 1 or higher and in the total population; PFS, OS in the total population; PFS in the population with CPS of 1 or higher and in the total population; and time to progression in the population with CPS of 1 or higher and in the total population; safety"
NCT02252042,30509740,KEYNOTE-040,"OS in the population with 
a PD-L1 combined positive 
score of 1 or higher; safety, 
PFS,ORR, duration of 
confirmed response in all 
participants and those with a PD-L1 combined positive score of 1 or higher."
NCT02105636,27718784,CheckMate 141,"PFS, ORR"
NCT02105636,29884413,CheckMate 141,"PFS, ORR"
NCT01668784,26406148,CheckMate 025,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events."
NCT01984242,29867230,IMmotion150,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety."
NCT01984242,29867230,IMmotion150,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety."
NCT02231749,29562145,CheckMate 214,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients."
NCT02231749,31427204,CheckMate 214,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients."
NCT02684006,30779531,JAVELIN Renal 101,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.
NCT02853331,30779529,KEYNOTE-426,ORR; duration of response; safety
NCT02420821,31079938,IMmotion151,OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety
NCT00527735,22547592,,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate"
NCT00527735,22547592,,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate"
NCT00527735,22858559,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)"
NCT00527735,22858559,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)"
NCT01673867,26412456,Checkmate 057,"OR, PFS, PRO"
NCT01642004,26028407,Checkmate 017,"OR, PFS, PRO"
NCT01905657,26712084,Keynote-010,"RR, DOR"
NCT01905657,26712084,Keynote-010,"RR, DOR"
NCT01903993,26970723,POPLAR,"ORR, PFS, DOR,OR"
NCT01450761,27458307,CA184-156,"PFS, ORR, DOR"
NCT02041533,28636851,Checkmate 026,"OS,PFS(PD-L1),RR,"
NCT01285609,28854067,,"PFS, ORR, DOR, safety"
NCT02125461,28885881,PACIFIC,"12-18 month PSA, DOR, ORR, Time to death, secondary progression, safety"
NCT02125461,30280658,PACIFIC,"Time to death, secondary progression, safety"
NCT02395172,30262187,JAVELIN Lung 200,"PFS, ORR, , BOR, PRO, Safety"
NCT02039674,27745820,Keynote-021,"PFS, DOR, OS"
NCT02039674,30138764,Keynote-021,"PFS, DOR, OS"
NCT02008227,27979383,OAK,"PFS, ORR, DoR"
NCT02008227,29777823,OAK,"PFS, ORR, DoR"
NCT02578680,29658856,Keynote-189,"ORR, DOR, safety"
NCT02763579,30280641,IMPower 133,"ORR, DOR"
NCT02775435,30280635,Keynote-407,"ORR, DOR, safety"
NCT02366143,29863955,IMPower150,"PFS, OS in ITT population"
NCT02366143,29863955,IMPower150,"PFS, OS in ITT population"
