row_index,NCT,Trial name,Name of ICI,Class of ICI
1,NCT00324155,,Ipilimumab,CTLA-4
2,NCT00094653,MDX010-20,Ipilimumab,CTLA-4
3,NCT00094653,MDX010-20,Ipilimumab,CTLA-4
4,NCT00257205,,Tremelimumab,CTLA-4
5,NCT02362594,EORTC 1325-MG/KEYNOTE-054,Pembrolizumab,PD-1
6,NCT01704287,KEYNOTE-002,Pembrolizumab,PD-1
7,NCT01704287,KEYNOTE-002,Pembrolizumab,PD-1
8,NCT01704287,KEYNOTE-002,Pembrolizumab,PD-1
9,NCT01704287,KEYNOTE-002,Pembrolizumab,PD-1
10,NCT00636168,,Ipilimumab,CTLA-4
11,NCT01721746,CheckMate 037,Nivolumab,PD-1
12,NCT01721746,CheckMate 037,Nivolumab,PD-1
13,NCT02130466,KEYNOTE-022,Pembrolizumab,PD-1
14,NCT01721772,CheckMate 066,Nivolumab,PD-1
15,NCT01721772,CheckMate 066,Nivolumab,PD-1
16,NCT01274338,E1609,Ipilimumab,CTLA-4
17,NCT01274338,E1609,Ipilimumab,CTLA-4
18,NCT02523313,IMMUNED,Nivolumab,PD-1
19,NCT02523313,IMMUNED,"Nivolumab, Ipilimumab","['PD-1', 'CTLA-4']"
20,NCT02908672,IMspire150,Atezolizumab,PD-L1
21,NCT00094653,MDX010-20,Ipilimumab,CTLA-4
22,NCT00094653,MDX010-20,Ipilimumab,CTLA-4
23,NCT01721772,CheckMate 066,Nivolumab,PD-1
24,NCT02130466,KEYNOTE-022,Pembrolizumab,PD-1
25,NCT02362594,EORTC 1325-MG/KEYNOTE-054,Pembrolizumab,PD-1
26,NCT00636168,,Ipilimumab,CTLA-4
