row_index,Follow-up duration for primary endpoint(s) in months | Overall,Cancer type,Follow-up duration for primary endpoint(s) in months | Control
1,,Non-Small Cell Lung,<12
2,,Non-Small Cell Lung,<12
3,,Non-Small Cell Lung,<12
4,,Non-Small Cell Lung,<12
5,,Non-Small Cell Lung,<12
6,,Non-Small Cell Lung,<12
7,,Non-Small Cell Lung,<12
8,13.5,Non-Small Cell Lung,12–23
9,,Non-Small Cell Lung,<12
10,14.5,Non-Small Cell Lung,12–23
11,25.2,Non-Small Cell Lung,≥24
12,18.3,Non-Small Cell Lung,12–23
13,10.6,Non-Small Cell Lung,<12
14,23.9,Non-Small Cell Lung,12–23
15,21,Non-Small Cell Lung,12–23
16,26,Non-Small Cell Lung,≥24
17,10.5,Non-Small Cell Lung,<12
18,7.8,Non-Small Cell Lung,<12
19,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",Non-Small Cell Lung,12–23
20,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",Non-Small Cell Lung,12–23
21,11.2,Non-Small Cell Lung,<12
22,11.2,Non-Small Cell Lung,<12
23,29.3,Non-Small Cell Lung,≥24
24,29.3,Non-Small Cell Lung,≥24
25,29.3,Non-Small Cell Lung,≥24
26,12.8,Non-Small Cell Lung,12–23
27,25.2,Non-Small Cell Lung,≥24
28,,Non-Small Cell Lung,<12
29,8.8,Non-Small Cell Lung,<12
30,,Non-Small Cell Lung,<12
31,9.1,Non-Small Cell Lung,<12
32,9.1,Non-Small Cell Lung,<12
33,9.1,Non-Small Cell Lung,<12
34,"30.2, 10.6",Non-Small Cell Lung,≥24
35,"30.2, 10.6",Non-Small Cell Lung,≥24
36,,Non-Small Cell Lung,<12
37,,Non-Small Cell Lung,<12
38,,Non-Small Cell Lung,<12
39,,Non-Small Cell Lung,<12
40,13.4,Non-Small Cell Lung,12–23
41,48.6,Non-Small Cell Lung,≥24
42,47.7,Non-Small Cell Lung,≥24
43,13.2,Non-Small Cell Lung,12–23
44,,Non-Small Cell Lung,<12
45,8.3,Non-Small Cell Lung,<12
