row_index,NCT,PubMed ID,Trial name,source_value,phase_bucket,derived_expected_llm_response,table_row_id
1,NCT02302807,29268948,IMvigor211,Phase 3,late,"{""phase_bucket"": ""late""}",1
2,NCT02425891,30345906,IMpassion130,Phase 3,late,"{""phase_bucket"": ""late""}",4
3,NCT02788279,31003911,IMblaze130,Phase 3,late,"{""phase_bucket"": ""late""}",6
4,NCT02788279,31003911,IMblaze130,Phase 3,late,"{""phase_bucket"": ""late""}",7
5,NCT01984242,29867230,IMmotion150,Phase 2,early,"{""phase_bucket"": ""early""}",16
6,NCT01984242,29867230,IMmotion150,Phase 2,early,"{""phase_bucket"": ""early""}",17
7,NCT02420821,31079938,IMmotion151,Phase 3,late,"{""phase_bucket"": ""late""}",22
8,NCT01903993,26970723,POPLAR,Phase 2,early,"{""phase_bucket"": ""early""}",31
9,NCT02395172,30262187,JAVELIN Lung 200,Phase 3,late,"{""phase_bucket"": ""late""}",37
10,NCT02008227,27979383,OAK,Phase 3,late,"{""phase_bucket"": ""late""}",40
11,NCT02008227,29777823,OAK,Phase 3,late,"{""phase_bucket"": ""late""}",41
12,NCT02763579,30280641,IMPower 133,Phase 3,late,"{""phase_bucket"": ""late""}",43
13,NCT02366143,29863955,IMPower150,Phase 3,late,"{""phase_bucket"": ""late""}",45
14,NCT02366143,29863955,IMPower150,Phase 3,late,"{""phase_bucket"": ""late""}",46
15,NCT03059667,30664989,IFCT-1603,Phase 2,early,"{""phase_bucket"": ""early""}",53
16,NCT02367781,31122901,IMpower130,Phase 3,late,"{""phase_bucket"": ""late""}",55
17,NCT02425891,31786121,IMpassion130,Phase 3,late,"{""phase_bucket"": ""late""}",84
18,NCT02763579,31959349,IMpower133,Phase 3,late,"{""phase_bucket"": ""late""}",87
19,NCT02367794,32302702,IMpower131,Phase 3,late,"{""phase_bucket"": ""late""}",102
20,NCT02367794,32302702,IMpower131,Phase 3,late,"{""phase_bucket"": ""late""}",103
21,NCT02908672,32534646,IMspire150,Phase 3,late,"{""phase_bucket"": ""late""}",104
22,NCT02807636,32416780,IMvigor130,Phase 3,late,"{""phase_bucket"": ""late""}",107
23,NCT02807636,32416780,IMvigor130,Phase 3,late,"{""phase_bucket"": ""late""}",108
24,NCT03434379,32402160,IMbrave150,Phase 3,late,"{""phase_bucket"": ""late""}",109
25,NCT03197935,32966830,IMpassion031,Phase 3,late,"{""phase_bucket"": ""late""}",125
26,NCT02409342,32997907,IMpower110,Phase 3,late,"{""phase_bucket"": ""late""}",129
27,NCT02657434,33333328,Impower 132,Phase 3,late,"{""phase_bucket"": ""late""}",132
28,NCT01903993,33166718,POPLAR,Phase 2,early,"{""phase_bucket"": ""early""}",143
29,NCT02008227,33166718,OAK,Phase 3,late,"{""phase_bucket"": ""late""}",144
30,NCT02450331, 33721560,Imvigor010,Phase 3,late,"{""phase_bucket"": ""late""}",153
