row_index,NCT,Trial name,Number of arms,Secondary endpoint
1,NCT00324155,,2,Overall Survival
2,NCT00094653,MDX010-20,3,Overall Survival
3,NCT00094653,MDX010-20,3,Overall Survival
4,NCT00257205,,2,Progression-Free Survival
5,NCT02362594,EORTC 1325-MG/KEYNOTE-054,2,Disease-Free Survival
6,NCT01704287,KEYNOTE-002,3,Overall Survival
7,NCT01704287,KEYNOTE-002,3,Overall Survival
8,NCT01704287,KEYNOTE-002,3,Overall Survival
9,NCT01704287,KEYNOTE-002,3,Overall Survival
10,NCT00636168,,2,Overall Survival
11,NCT01721746,CheckMate 037,2,Progression-Free Survival
12,NCT01721746,CheckMate 037,2,Progression-Free Survival
13,NCT02130466,KEYNOTE-022,2,Progression-Free Survival
14,NCT01721772,CheckMate 066,2,Overall Survival
15,NCT01721772,CheckMate 066,2,Overall Survival
16,NCT01274338,E1609,3,Overall Survival
17,NCT01274338,E1609,3,Overall Survival
18,NCT02523313,IMMUNED,3,Progression-Free Survival
19,NCT02523313,IMMUNED,3,Progression-Free Survival
20,NCT02908672,IMspire150,2,Progression-Free Survival
21,NCT00094653,MDX010-20,3,Overall Survival
22,NCT00094653,MDX010-20,3,Overall Survival
23,NCT01721772,CheckMate 066,2,Overall Survival
24,NCT02130466,KEYNOTE-022,2,Progression-Free Survival
25,NCT02362594,EORTC 1325-MG/KEYNOTE-054,2,Disease-Free Survival
26,NCT00636168,,2,Overall Survival
