row_index,Follow-up duration for primary endpoint(s) in months | Overall,Cancer type,Follow-up duration for primary endpoint(s) in months | Control
1,11.1,Small Cell Lung,<12
2,11.1,Small Cell Lung,<12
3,,Small Cell Lung,
4,13.9,Small Cell Lung,12–23
5,13.7,Small Cell Lung,12–23
6,14.2,Small Cell Lung,12–23
7,14.2,Small Cell Lung,12–23
8,,Small Cell Lung,
9,,Small Cell Lung,
10,25.1,Small Cell Lung,≥24
11,25.1,Small Cell Lung,≥24
12,15.8,Small Cell Lung,12–23
13,,Small Cell Lung,
14,,Small Cell Lung,
