row_index,NCT,Trial name,Cancer type,Type of therapy,is_combination,Monotherapy/combination
1,NCT02252042,KEYNOTE-040,Head and Neck,Monotherapy,false,False
2,NCT02105636,CheckMate 141,Head and Neck,Monotherapy,false,False
3,NCT02105636,CheckMate 141,Head and Neck,Monotherapy,false,False
4,NCT02358031,KEYNOTE-048,Head and Neck,Monotherapy,false,False
5,NCT02358031,KEYNOTE-048,Head and Neck,Combination,true,True
6,NCT02017717,CheckMate 143,Head and Neck,Monotherapy,false,False
7,NCT02369874,EAGLE,Head and Neck,Monotherapy,false,False
8,NCT02369874,EAGLE,Head and Neck,Combination,true,True
9,NCT02952586,JAVELIN Head and Neck 101,Head and Neck,Combination,true,True
10,NCT02999087,REACH,Head and Neck,Combination,true,True
