row_index,NCT,PubMed ID,Trial name,source_value,followup_type,derived_expected_llm_response
1,NCT02425891,30345906,IMpassion130,Median,,"{""followup_type"": null}"
2,NCT02685059,31095287,GeparNuevo,,,"{""followup_type"": null}"
3,NCT01042379,32053137,I-SPY2,Median,,"{""followup_type"": null}"
4,NCT02425891,31786121,IMpassion130,Median,,"{""followup_type"": null}"
5,NCT03036488,32101663,KEYNOTE-522,Median,,"{""followup_type"": null}"
6,NCT03051659,32880602,,Median,,"{""followup_type"": null}"
7,NCT02819518,33278935,MK-3475/Keynote-355,Median,,"{""followup_type"": null}"
8,NCT03197935,32966830,IMpassion031,Median,,"{""followup_type"": null}"
9,NCT02924883,33002436,KATE2,Median,,"{""followup_type"": null}"
10,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,Median,,"{""followup_type"": null}"
11,NCT02555657,33676601,Keynote-119,Median,,"{""followup_type"": null}"
