row_index,NCT,PubMed ID,Trial name,source_value,era,derived_expected_llm_response,table_row_id
1,NCT02302807,29268948,IMvigor211,2018,2015–2018,"{""era"": ""2015–2018""}",1
2,NCT02425891,30345906,IMpassion130,2018,2015–2018,"{""era"": ""2015–2018""}",4
3,NCT02788279,31003911,IMblaze130,2019,≥2019,"{""era"": ""≥2019""}",6
4,NCT02788279,31003911,IMblaze130,2019,≥2019,"{""era"": ""≥2019""}",7
5,NCT01984242,29867230,IMmotion150,2018,2015–2018,"{""era"": ""2015–2018""}",16
6,NCT01984242,29867230,IMmotion150,2018,2015–2018,"{""era"": ""2015–2018""}",17
7,NCT02420821,31079938,IMmotion151,2019,≥2019,"{""era"": ""≥2019""}",22
8,NCT01903993,26970723,POPLAR,2016,2015–2018,"{""era"": ""2015–2018""}",31
9,NCT02395172,30262187,JAVELIN Lung 200,2018,2015–2018,"{""era"": ""2015–2018""}",37
10,NCT02008227,27979383,OAK,2017,2015–2018,"{""era"": ""2015–2018""}",40
11,NCT02008227,29777823,OAK,2018,2015–2018,"{""era"": ""2015–2018""}",41
12,NCT02763579,30280641,IMPower 133,2018,2015–2018,"{""era"": ""2015–2018""}",43
13,NCT02366143,29863955,IMPower150,2018,2015–2018,"{""era"": ""2015–2018""}",45
14,NCT02366143,29863955,IMPower150,2018,2015–2018,"{""era"": ""2015–2018""}",46
15,NCT03059667,30664989,IFCT-1603,2019,≥2019,"{""era"": ""≥2019""}",53
16,NCT02367781,31122901,IMpower130,2019,≥2019,"{""era"": ""≥2019""}",55
17,NCT02425891,31786121,IMpassion130,2019,≥2019,"{""era"": ""≥2019""}",84
18,NCT02763579,31959349,IMpower133,2020,≥2019,"{""era"": ""≥2019""}",87
19,NCT02367794,32302702,IMpower131,2020,≥2019,"{""era"": ""≥2019""}",102
20,NCT02367794,32302702,IMpower131,2020,≥2019,"{""era"": ""≥2019""}",103
21,NCT02908672,32534646,IMspire150,2020,≥2019,"{""era"": ""≥2019""}",104
22,NCT02807636,32416780,IMvigor130,2020,≥2019,"{""era"": ""≥2019""}",107
23,NCT02807636,32416780,IMvigor130,2020,≥2019,"{""era"": ""≥2019""}",108
24,NCT03434379,32402160,IMbrave150,2020,≥2019,"{""era"": ""≥2019""}",109
25,NCT03197935,32966830,IMpassion031,2020,≥2019,"{""era"": ""≥2019""}",125
26,NCT02409342,32997907,IMpower110,2020,≥2019,"{""era"": ""≥2019""}",129
27,NCT02657434,33333328,Impower 132,2020,≥2019,"{""era"": ""≥2019""}",132
28,NCT01903993,33166718,POPLAR,2020,≥2019,"{""era"": ""≥2019""}",143
29,NCT02008227,33166718,OAK,2020,≥2019,"{""era"": ""≥2019""}",144
30,NCT02450331, 33721560,Imvigor010,2021,≥2019,"{""era"": ""≥2019""}",153
