row_index,Trial name,Is any other biomarker used for inclusion
1,,
2,,
3,Checkmate 057,
4,Checkmate 017,
5,,
6,PACIFIC,
7,PACIFIC,
8,JAVELIN Lung 200,
9,OAK,
10,OAK,
11,Keynote-189,
12,Keynote-407,
13,IMPower150,
14,IMPower150,
15,Checkmate 227,
16,Checkmate 227,
17,Checkmate 227,
18,Checkmate 227,
19,Checkmate 227,
20,IMpower130,
21,Checkmate 078,
22,CAURAL,
23,ARCTIC,
24,ARCTIC,
25,ARCTIC,
26,MYSTIC,
27,MYSTIC,
28,IMpower131,
29,IMpower131,
30,PROLUNG,
31,POPLAR,
32,OAK,
33,CheckMate 9LA,
34,ModuLung,
