row_index,NCT,Trial name,Cancer type,Type of therapy,is_combination,Monotherapy/combination
1,NCT02425891,IMpassion130,Breast,Combination,true,True
2,NCT02685059,GeparNuevo,Breast,Combination,true,True
3,NCT01042379,I-SPY2,Breast,Combination,true,True
4,NCT02425891,IMpassion130,Breast,Combination,true,True
5,NCT03036488,KEYNOTE-522,Breast,Combination,true,True
6,NCT03051659,,Breast,Combination,true,True
7,NCT02819518,MK-3475/Keynote-355,Breast,Combination,true,True
8,NCT03197935,IMpassion031,Breast,Combination,true,True
9,NCT02924883,KATE2,Breast,Combination,true,True
10,NCT02299999,SAFIR02-BREAST IMMUNO,Breast,Monotherapy,false,False
11,NCT02555657,Keynote-119,Breast,Monotherapy,false,False
