row_index,NCT,PubMed ID,Trial name,source_value,size_bucket,derived_expected_llm_response
1,NCT02302807,29268948,IMvigor211,931.0,large,"{""size_bucket"": ""large""}"
2,NCT02425891,30345906,IMpassion130,902.0,large,"{""size_bucket"": ""large""}"
3,NCT02788279,31003911,IMblaze130,363.0,large,"{""size_bucket"": ""large""}"
4,NCT02788279,31003911,IMblaze130,363.0,large,"{""size_bucket"": ""large""}"
5,NCT01984242,29867230,IMmotion150,305.0,large,"{""size_bucket"": ""large""}"
6,NCT01984242,29867230,IMmotion150,305.0,large,"{""size_bucket"": ""large""}"
7,NCT02420821,31079938,IMmotion151,915.0,large,"{""size_bucket"": ""large""}"
8,NCT01903993,26970723,POPLAR,287.0,medium,"{""size_bucket"": ""medium""}"
9,NCT02395172,30262187,JAVELIN Lung 200,758.0,large,"{""size_bucket"": ""large""}"
10,NCT02008227,27979383,OAK,1225.0,large,"{""size_bucket"": ""large""}"
11,NCT02008227,29777823,OAK,1225.0,large,"{""size_bucket"": ""large""}"
12,NCT02763579,30280641,IMPower 133,403.0,large,"{""size_bucket"": ""large""}"
13,NCT02366143,29863955,IMPower150,1202.0,large,"{""size_bucket"": ""large""}"
14,NCT02366143,29863955,IMPower150,1202.0,large,"{""size_bucket"": ""large""}"
15,NCT03059667,30664989,IFCT-1603,73.0,small,"{""size_bucket"": ""small""}"
16,NCT02367781,31122901,IMpower130,724.0,large,"{""size_bucket"": ""large""}"
17,NCT02425891,31786121,IMpassion130,902.0,large,"{""size_bucket"": ""large""}"
18,NCT02763579,31959349,IMpower133,403.0,large,"{""size_bucket"": ""large""}"
19,NCT02367794,32302702,IMpower131,1021.0,large,"{""size_bucket"": ""large""}"
20,NCT02367794,32302702,IMpower131,1021.0,large,"{""size_bucket"": ""large""}"
21,NCT02908672,32534646,IMspire150,514.0,large,"{""size_bucket"": ""large""}"
22,NCT02807636,32416780,IMvigor130,1213.0,large,"{""size_bucket"": ""large""}"
23,NCT02807636,32416780,IMvigor130,1213.0,large,"{""size_bucket"": ""large""}"
24,NCT03434379,32402160,IMbrave150,336.0,large,"{""size_bucket"": ""large""}"
25,NCT03197935,32966830,IMpassion031,333.0,large,"{""size_bucket"": ""large""}"
26,NCT02409342,32997907,IMpower110,572.0,large,"{""size_bucket"": ""large""}"
27,NCT02657434,33333328,Impower 132,578.0,large,"{""size_bucket"": ""large""}"
28,NCT01903993,33166718,POPLAR,287.0,medium,"{""size_bucket"": ""medium""}"
29,NCT02008227,33166718,OAK,1225.0,large,"{""size_bucket"": ""large""}"
30,NCT02450331, 33721560,Imvigor010,809.0,large,"{""size_bucket"": ""large""}"
