row_index,NCT,PubMed ID,Trial name,source_value,size_bucket,derived_expected_llm_response,table_row_id
1,NCT02256436,28212060,Keynote-045,542.0,large,"{""size_bucket"": ""large""}",
2,NCT02256436,31050707,Keynote-045,542.0,large,"{""size_bucket"": ""large""}",
3,NCT02370498,29880231,Keynote-061,395.0,large,"{""size_bucket"": ""large""}",
4,NCT02252042,30509740,KEYNOTE-040,495.0,large,"{""size_bucket"": ""large""}",
5,NCT02853331,30779529,KEYNOTE-426,861.0,large,"{""size_bucket"": ""large""}",
6,NCT01905657,26712084,Keynote-010,1034.0,large,"{""size_bucket"": ""large""}",
7,NCT01905657,26712084,Keynote-010,1034.0,large,"{""size_bucket"": ""large""}",
8,NCT02039674,27745820,Keynote-021,123.0,medium,"{""size_bucket"": ""medium""}",
9,NCT02039674,30138764,Keynote-021,123.0,medium,"{""size_bucket"": ""medium""}",
10,NCT02578680,29658856,Keynote-189,616.0,large,"{""size_bucket"": ""large""}",
11,NCT02775435,30280635,Keynote-407,559.0,large,"{""size_bucket"": ""large""}",
12,NCT02220894,30955977,Keynote-042,1274.0,large,"{""size_bucket"": ""large""}",
13,NCT02142738,30620668,Keynote-024,305.0,large,"{""size_bucket"": ""large""}",
14,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,1019.0,large,"{""size_bucket"": ""large""}",
15,NCT01704287,26115796,KEYNOTE-002,540.0,large,"{""size_bucket"": ""large""}",
16,NCT01704287,26115796,KEYNOTE-002,540.0,large,"{""size_bucket"": ""large""}",
17,NCT01704287,28961465,KEYNOTE-002,540.0,large,"{""size_bucket"": ""large""}",
18,NCT01704287,28961465,KEYNOTE-002,540.0,large,"{""size_bucket"": ""large""}",
19,NCT02130466,31171878,KEYNOTE-022,120.0,medium,"{""size_bucket"": ""medium""}",
20,NCT02576977,31327687,KEYNOTE-183,348.0,large,"{""size_bucket"": ""large""}",
21,NCT02579863,31327689,KEYNOTE-185,301.0,large,"{""size_bucket"": ""large""}",
22,NCT02702401,31790344,KEYNOTE-240,413.0,large,"{""size_bucket"": ""large""}",
23,NCT01042379,32053137,I-SPY2,250.0,medium,"{""size_bucket"": ""medium""}",
24,NCT02358031,31679945,KEYNOTE-048,882.0,large,"{""size_bucket"": ""large""}",
25,NCT02358031,31679945,KEYNOTE-048,882.0,large,"{""size_bucket"": ""large""}",
26,NCT02362048,32114502,KEYNOTE144,77.0,small,"{""size_bucket"": ""small""}",
27,NCT03036488,32101663,KEYNOTE-522,1174.0,large,"{""size_bucket"": ""large""}",
28,NCT03066778,32468956,KEYNOTE-604,453.0,large,"{""size_bucket"": ""large""}",
29,NCT02500121,32271672,,108.0,medium,"{""size_bucket"": ""medium""}",
30,NCT02574598,32271354,PROLUNG,78.0,small,"{""size_bucket"": ""small""}",
31,NCT02142738,27718847,Keynote-024,305.0,large,"{""size_bucket"": ""large""}",
32,NCT03051659,32880602,,90.0,small,"{""size_bucket"": ""small""}",
33,NCT02494583,32880601,Keynote-062,763.0,large,"{""size_bucket"": ""large""}",
34,NCT02494583,32880601,Keynote-062,763.0,large,"{""size_bucket"": ""large""}",
35,NCT02819518,33278935,MK-3475/Keynote-355,847.0,large,"{""size_bucket"": ""large""}",
36,NCT02853331,33284113,Keynote-426,861.0,large,"{""size_bucket"": ""large""}",
37,NCT02564263,33026938,KEYNOTE-181,628.0,large,"{""size_bucket"": ""large""}",
38,NCT02130466,33361337,KEYNOTE-022,120.0,medium,"{""size_bucket"": ""medium""}",
39,NCT02991482,32976938,PROMISE-meso,144.0,medium,"{""size_bucket"": ""medium""}",
40,NCT02563002,33264544,MK-3475/Keynote-177,307.0,large,"{""size_bucket"": ""large""}",
41,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,1019.0,large,"{""size_bucket"": ""large""}",
42,NCT02811861,33616314,CLEAR,1069.0,large,"{""size_bucket"": ""large""}",
