item_id,csv_row_number,question,column_used,expected_keys_json,ground_truth_row_count,predicted_answer,chunk_score,chunk_start,chunk_row_count,match_any_payload,match_any_value,match_any_source_value,actual_payloads_json,actual_values_json,actual_source_values_json,question_dir,table_copy_csv,tapex_table_view_csv,ground_truth_table_csv
row_2,2,"In Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,"[""class""]",14,pd-1,-0.24617569148540497,128,31,0.0,0.0,0.0,"[""{\""class\"": \""CTLA-4\""}"", ""{\""class\"": \""CTLA-4\""}"", ""{\""class\"": \""CTLA-4\""}"", ""{\""class\"": \""PD-L1\""}"", ""{\""class\"": \""PD-L1\""}"", ""{\""class\"": \""PD-L1\""}"", ""{\""class\"": \""PD-L1, CTLA-4\""}"", ""{\""class\"": \""PD-L1\""}"", ""{\""class\"": \""PD1\""}"", ""{\""class\"": \""PD-L1, CTLA-4\""}"", ""{\""class\"": \""PD-L1\""}"", ""{\""class\"": \""PD1\""}"", ""{\""class\"": \""PD1, CTLA-4\""}"", ""{\""class\"": \""PD1\""}""]","[""\""CTLA-4\"""", ""CTLA-4"", ""\""PD-L1\"""", ""PD-L1"", ""\""PD-L1, CTLA-4\"""", ""PD-L1, CTLA-4"", ""\""PD1\"""", ""PD1"", ""\""PD1, CTLA-4\"""", ""PD1, CTLA-4""]","[""Ipilimumab"", ""Atezolizumab"", ""Durvalumab"", ""Durvalumab, Tremelimumab"", ""Pembrolizumab"", ""Nivolumab"", ""Nivolumab, Ipilimumab""]",/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_2_In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1_or_CTLA_4,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_2_In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1_or_CTLA_4/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_2_In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1_or_CTLA_4/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_2_In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1_or_CTLA_4/ground_truth_table.csv
row_3,3,"In Esophageal/GEJ trials, convert 'Original/Follow up' status into a boolean is_follow_up.",Originial publication or Follow-up,"[""is_follow_up""]",2,follow-up,-0.09472682327032089,64,64,0.0,0.0,0.0,"[""{\""is_follow_up\"": false}"", ""{\""is_follow_up\"": false}""]","[""false"", ""False""]","[""Original publication""]",/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_3_In_Esophageal_GEJ_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_3_In_Esophageal_GEJ_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_3_In_Esophageal_GEJ_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_3_In_Esophageal_GEJ_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up/ground_truth_table.csv
row_4,4,"In Prostate trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,"[""is_combination""]",3,false,-0.3903124928474426,0,64,0.0,1.0,0.0,"[""{\""is_combination\"": true}"", ""{\""is_combination\"": false}"", ""{\""is_combination\"": true}""]","[""true"", ""True"", ""false"", ""False""]","[""Combination"", ""Monotherapy""]",/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_4_In_Prostate_trials_convert_Type_of_therapy_into_is_combination_true_false,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_4_In_Prostate_trials_convert_Type_of_therapy_into_is_combination_true_false/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_4_In_Prostate_trials_convert_Type_of_therapy_into_is_combination_true_false/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_4_In_Prostate_trials_convert_Type_of_therapy_into_is_combination_true_false/ground_truth_table.csv
row_5,5,"For Avelumab trials in Multiple Myeloma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",0,checkmate 025,-0.16626320779323578,64,64,0.0,0.0,0.0,[],[],[],/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_5_For_Avelumab_trials_in_Multiple_Myeloma_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_5_For_Avelumab_trials_in_Multiple_Myeloma_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_5_For_Avelumab_trials_in_Multiple_Myeloma_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_5_For_Avelumab_trials_in_Multiple_Myeloma_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/ground_truth_table.csv
row_6,6,"In NSCLC studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.",Treatment regimen,"[""tki_agents""]",0,nct02302807,-0.37480366230010986,0,64,0.0,0.0,0.0,[],[],[],/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_6_In_NSCLC_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_regimen,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_6_In_NSCLC_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_regimen/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_6_In_NSCLC_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_regimen/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_6_In_NSCLC_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_regimen/ground_truth_table.csv
row_8,8,"For Atezolizumab trials, bucket the publication year into: ≤2014, 2015–2018, ≥2019.",Year,"[""era""]",30,2021,-0.13406586647033691,128,31,0.0,0.0,1.0,"[""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""2015–2018\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}"", ""{\""era\"": \""≥2019\""}""]","[""\""2015–2018\"""", ""2015–2018"", ""\""≥2019\"""", ""≥2019""]","[""2018"", ""2019"", ""2016"", ""2017"", ""2020"", ""2021""]",/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_8_For_Atezolizumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_8_For_Atezolizumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_8_For_Atezolizumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_8_For_Atezolizumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019/ground_truth_table.csv
row_11,11,"For Nivolumab, Ipilimumab trials in Hodgkin Lymphoma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",0,speaker-204,-0.788174569606781,128,16,0.0,0.0,0.0,[],[],[],/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_11_For_Nivolumab_Ipilimumab_trials_in_Hodgkin_Lymphoma_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_11_For_Nivolumab_Ipilimumab_trials_in_Hodgkin_Lymphoma_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_11_For_Nivolumab_Ipilimumab_trials_in_Hodgkin_Lymphoma_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_11_For_Nivolumab_Ipilimumab_trials_in_Hodgkin_Lymphoma_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/ground_truth_table.csv
row_14,14,"For Durvalumab, Tremelimumab trials in Head and Neck, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",1,keynote-119,-0.7133190035820007,128,16,0.0,0.0,0.0,"[""{\""trial_acronym\"": \""EAGLE\""}""]","[""\""EAGLE\"""", ""EAGLE""]","[""EAGLE""]",/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_14_For_Durvalumab_Tremelimumab_trials_in_Head_and_Neck_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_14_For_Durvalumab_Tremelimumab_trials_in_Head_and_Neck_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_14_For_Durvalumab_Tremelimumab_trials_in_Head_and_Neck_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_14_For_Durvalumab_Tremelimumab_trials_in_Head_and_Neck_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/ground_truth_table.csv
row_16,16,"In Head and Neck trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.",Secondary endpoint,"[""irAE_assessed""]",9,nct02564263,-0.5985067486763,128,24,0.0,0.0,0.0,"[""{\""irAE_assessed\"": false}"", ""{\""irAE_assessed\"": false}"", ""{\""irAE_assessed\"": false}"", ""{\""irAE_assessed\"": false}"", ""{\""irAE_assessed\"": false}"", ""{\""irAE_assessed\"": false}"", ""{\""irAE_assessed\"": false}"", ""{\""irAE_assessed\"": false}"", ""{\""irAE_assessed\"": false}""]","[""false"", ""False""]","[""PFS, ORR"", ""Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and\nswallowing."", ""OS rate at 12 months; investigator-assessed PFS and ORR."", ""PFS, ORR, DOR"", ""OS; ORR; DoR; path CR"", ""Safety""]",/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_16_In_Head_and_Neck_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_events_irAEs_were_explicitly_assessed,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_16_In_Head_and_Neck_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_events_irAEs_were_explicitly_assessed/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_16_In_Head_and_Neck_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_events_irAEs_were_explicitly_assessed/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_16_In_Head_and_Neck_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_events_irAEs_were_explicitly_assessed/ground_truth_table.csv
row_17,17,"For Atezolizumab trials in Pancreatic, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).",Trial name,"[""trial_acronym""]",0,checkmate 025,-0.10879811644554138,64,64,0.0,0.0,0.0,[],[],[],/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_17_For_Atezolizumab_trials_in_Pancreatic_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_17_For_Atezolizumab_trials_in_Pancreatic_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/table_copy.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_17_For_Atezolizumab_trials_in_Pancreatic_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/tapex_table_view.csv,/mnt/data1/srchowd3/FD-NL2SQL/methodv2/runs/question_table_copy_tapex_full/questions/row_17_For_Atezolizumab_trials_in_Pancreatic_extract_the_trial_acronym_from_the_trial_name_e_g_KEYNOTE_xxx_CHECKMATE_xxx/ground_truth_table.csv
