row_index,Treatment regimen,Control regimen
1,Atezolizumab+Nab-paclitaxel,
2,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,
3,Atezolizumab+Bevacizumab,
4,Concurrent ipilimumab+Paclitaxel+Carboplatin,
5,Phased ipilimumab+Paclitaxel+Carboplatin,
6,Concurrent ipilimumab+Paclitaxel+Carboplatin,
7,Phased ipilimumab+Paclitaxel+Carboplatin,
8,Ipilimumab+Etoposide+Platinum agent,
9,Ipilimumab+Paclitaxel+Carboplatin,
10,Pembrolizumab+Pemetrexed+Carboplatin,
11,Pembrolizumab+Pemetrexed+Carboplatin,
12,Pembrolizumab+Platinum agent,
13,Atezolizumab+Etoposide+Carboplatin,
14,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,
15,Atezolizumab+Carboplatin+Paclitaxel,
16,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,
17,Nivolumab+Chemotherapy,
18,Atezolizumab+Carboplatin+Nab-paclitaxel,
19,Ipilimumab+Dacarbazine,
20,Pembrolizumab+Pomalidomide+Dexamethasone,
21,Pembrolizumab+Lenalidomide+Dexamethasone,
22,Pembrolizumab+Paclitaxel,
23,Durvalumab+Etoposide+Platinum agent,
24,Durvalumab+Tremelimumab+Etoposide+Platinum agent,
25,Atezolizumab+Nab-paclitaxel,
26,Pembrolizumab+Platinum agent+5-Fluorouracil,
27,Atezolizumab+Carboplatin+Etoposide,
28,Pembrolizumab+Paclitaxel+Carboplatin,
29,Pembrolizumab+Etoposide+Platinum agent,
30,Atezolizumab+Carboplatin+Paclitaxel,
31,Atezolizumab+Carboplatin+Nab-paclitaxel,
32,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,
33,Durvalumab+Tremelimumab+Best supportive care,
34,Pembrolizumab+ Docetaxel,
35,Pembrolizumab+Eribulin,
36,Pembrolizumab+Cisplatin+5-FU+Capecitabine,
37,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,
38,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,
39,Avelumab,
40,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,
41,Durvalumab+Tremelimumab+Etoposide+Platinum agent,
42,Durvalumab+Etoposide+Platinum agent,
43,Nivolumab+Ipilimumab+Chemotherapy,
44,Avelumab+Chemoradiotherapy,
45,Avelumab+cetuximab+radiotherapy,
