row_index,NCT,PubMed ID,Trial name,source_value,primary_endpoint_category,derived_expected_llm_response
1,NCT00527735,22547592,,PFS,PFS,"{""primary_endpoint_category"": ""PFS""}"
2,NCT00527735,22547592,,PFS,PFS,"{""primary_endpoint_category"": ""PFS""}"
3,NCT01905657,26712084,Keynote-010,OS+PFS,PFS,"{""primary_endpoint_category"": ""PFS""}"
4,NCT01905657,26712084,Keynote-010,OS+PFS,PFS,"{""primary_endpoint_category"": ""PFS""}"
5,NCT01903993,26970723,POPLAR,PFS,PFS,"{""primary_endpoint_category"": ""PFS""}"
6,NCT02039674,27745820,Keynote-021,ORR,ORR,"{""primary_endpoint_category"": ""ORR""}"
7,NCT02039674,30138764,Keynote-021,ORR,ORR,"{""primary_endpoint_category"": ""ORR""}"
8,NCT02574598,32271354,PROLUNG,ORR,ORR,"{""primary_endpoint_category"": ""ORR""}"
9,NCT01903993,33166718,POPLAR,OS,OS,"{""primary_endpoint_category"": ""OS""}"
10,NCT02852083, 33796020,ModuLung,PFS,PFS,"{""primary_endpoint_category"": ""PFS""}"
